row_id,ordinal,contour,source_statement,promoted_statement,status,claim_ceiling,formal_proposition,assumptions,artifact_ref,proof_or_evidence,falsifier_check,dependency_closure,verification_note,article_eligible,domain_id,updated_at
OC31-CENTER-001,1,center,Unresolvable contradiction either births a new axis or leads to collapse.,Four-outcome structured-pressure classifier is proved with evidence.,PROVED_WITH_EVIDENCE,CORE_FORMAL_PROOF,"For every StressContext, classify returns absorption, extension, collapse, or underdetermined; same-description repair proves absorption and repairs the old fork.","StressContext declares evidenceBound, sameDescriptionRepair, extensionRepair, and invariantFailure.",../../030/concentric_formalization/formal/OCConcentric/Basic.lean; formal/OCOperational/Basic.lean,Lean center_four_outcome_total proves totality; center_absorption_repairs_old_fork proves the old two-outcome fork was incomplete.,A same-description repair falsifies the old fork but not the four-outcome theorem.,Depends on 029 central theorem and 027/028 repair guard.,lake build checks OCConcentric.Basic.,1,,2026-05-22T10:55:45.917616+00:00
OC31-ADEQUACY-001,2,adequacy,OC adequacy roles are not eliminable.,Adequacy roles are proved non-eliminable with evidence.,PROVED_WITH_EVIDENCE,CORE_FORMAL_PROOF,"For every missing AdequacyRole, missingRoleLanguage missing is not Adequate.","AdequacyRole enumerates observation coverage, distinguishability, dynamics, pressure, repair, extension, collapse, underdetermination, projection non-inflation, evidence binding, and refinement.",../../030/concentric_formalization/formal/OCConcentric/Basic.lean; ../../030/concentric_formalization/formal/python/concentric_witnesses.py; formal/OCOperational/Basic.lean,Lean adequacy_no_role_eliminable and Python role-removal witnesses prove the lower bound.,A falsifier would remove a role while preserving Adequate; Lean reduces this to r != r.,Depends on 029 adequacy role theorem.,Python enumerates role removals.,1,,2026-05-22T10:55:45.917616+00:00
OC31-OPERATORS-001,3,operators,Six continuum operators are independent and minimal under typed semantic effect signatures.,Six typed continuum operators are proved minimal with evidence.,PROVED_WITH_EVIDENCE,CORE_FORMAL_PROOF,"OperatorAdequate requires introduce, differentiate, stabilize, project, invalidate, and repair; removing any operator role breaks adequacy and operatorCode is injective.","Operator roles are typed semantic effects, not arbitrary names.",../../030/concentric_formalization/formal/OCConcentric/Basic.lean; ../../030/concentric_formalization/formal/python/concentric_witnesses.py; formal/OCOperational/Basic.lean,Lean operatorCode_injective and operators_no_role_eliminable prove role separation and lower bound.,A generic rewrite operator does not falsify typed-role minimality because it is not role-preserving over the six effects.,Depends on 029 operator theorem.,Python enumerates operator removals.,1,,2026-05-22T10:55:45.917616+00:00
OC31-K-LADDER-001,4,k_ladder,K-levels are a parametric rank/closure ladder with adjacent non-collapse.,Parametric K-ladder and depth-12 reference instance are proved with evidence.,PROVED_WITH_EVIDENCE,CORE_FORMAL_PROOF,"kRank n < kRank (n+1), and kLadder maxDepth is List.range (maxDepth+1).",K-level proof is relative to rank/closure parameter maxDepth.,../../030/concentric_formalization/formal/OCConcentric/Basic.lean; ../../030/concentric_formalization/formal/python/concentric_witnesses.py; formal/OCOperational/Basic.lean,Lean k_adjacent_noncollapse and k_reference_depth_12_count prove ladder and reference count.,Adjacent collapse is blocked by Nat.lt_succ_self.,Depends on 029 parametric K theorem and source K nodes.,Python checks increasing depth-12 ladder.,1,,2026-05-22T10:55:45.917616+00:00
OC31-K-REPAIR-001,5,k_ladder,K0-K12 is the absolute unique cosmic count.,Absolute K-count overclaim is refuted and repaired with evidence.,PROVED_WITH_EVIDENCE,REFERENCE_K0_K12_NOT_ABSOLUTE_COUNT,There exists an alternative kLadder depth with length not equal to 13; therefore absolute count is not derivable without depth parameter.,K0-K12 remains a reference instantiation at depth 12.,../../030/concentric_formalization/formal/OCConcentric/Basic.lean; ../../030/concentric_formalization/formal/python/concentric_witnesses.py; formal/OCOperational/Basic.lean,Lean k_absolute_count_guard and Python len(k_ladder(13)) != 13 prove the guard.,A stronger proof would need a canonical depth theorem absent from current core.,Depends on OC30-K-001 and 029 K repair.,Python absolute_k_count_guard passes.,1,,2026-05-22T10:55:45.917616+00:00
OC31-SCHEMA-001,6,theorem_schemas,"Internal OC theorem schemas require closed dependencies, proof artifact, and falsifier.",Theorem-schema admission gate is proved with evidence.,PROVED_WITH_EVIDENCE,CORE_FORMAL_PROOF,SchemaAdmissible S entails S.dependenciesClosed.,"A theorem schema is admissible only with dependenciesClosed, proofArtifact, and falsifier.",../../030/concentric_formalization/formal/OCConcentric/Basic.lean; ../../030/concentric_formalization/formal/python/validate_030.py; formal/OCOperational/Basic.lean,Lean theorem_schema_requires_closed_dependencies proves the gate.,A schema with open dependencies is not admissible.,Depends on proof discipline from 029.,Validator requires proof fields on every row.,1,,2026-05-22T10:55:45.917616+00:00
OC31-LAWS-001,7,laws,"Law-like OC statements require trigger, scope, outcome criterion, and falsifier.",Law admissibility gate is proved with evidence.,PROVED_WITH_EVIDENCE,CORE_FORMAL_PROOF,LawAdmissible L entails L.falsifier.,"A law candidate must name trigger, scope, outcomeCriterion, and falsifier.",../../030/concentric_formalization/formal/OCConcentric/Basic.lean; ../../030/concentric_formalization/OC_CONCENTRIC_ARTICLE_BOUNDARY_030.md; formal/OCOperational/Basic.lean,Lean law_requires_falsifier proves non-rhetorical law admission.,A law without falsifier fails LawAdmissible.,Depends on 029 law admissibility theorem.,Article boundary forbids laws without falsifiers.,1,,2026-05-22T10:55:45.917616+00:00
OC31-CROWN-BOUNDARY-001,8,crown,Crown stones are proved by the core alone.,Crown-stone promotion boundary is proved with evidence.,PROVED_WITH_EVIDENCE,CROWN_REQUIRES_SEPARATE_THEOREM_CHAIN,coreOnlyDomainProjection has coreSignature but no local evidence; CrownPromoted coreOnlyDomainProjection is false.,A crown stone needs a theorem chain or local evidence package beyond core signature.,../../030/concentric_formalization/formal/OCConcentric/Basic.lean; ../../030/concentric_formalization/OC_CONCENTRIC_ARTICLE_BOUNDARY_030.md; formal/OCOperational/Basic.lean,Lean crown_not_core_without_local_evidence proves rejection from core alone.,A falsifier would promote coreOnlyDomainProjection despite missing local evidence.,Depends on domain non-inflation theorem.,Article boundary forbids crown promotion from core alone.,1,,2026-05-22T10:55:45.917616+00:00
OC31-DOMAIN-DISCIPLINE-001,9,domains,Domain projection discipline requires local evidence.,Domain projection evidence discipline is proved with evidence.,PROVED_WITH_EVIDENCE,CORE_FORMAL_PROOF,DomainProjectionValidated D entails LocalEvidenceComplete D.localEvidence.,"LocalEvidenceComplete requires observables, constraints, operators, invariants, falsifiers, and evidenceBindings.",../../030/concentric_formalization/formal/OCConcentric/Basic.lean; formal/OCOperational/Basic.lean,Lean domain_projection_requires_local_evidence and core_signature_alone_not_domain_proof prove non-inflation.,Core signature alone does not validate a domain projection.,Depends on 029 domain projection theorem.,lake build checks domain projection lemmas.,1,,2026-05-22T10:55:45.917616+00:00
OC31-DOMAIN-MATHEMATICS,10,domains,MATHEMATICS source-domain projection may be promoted only at its evidence ceiling.,MATHEMATICS projection is proved with evidence at the DB-recorded claim ceiling; stronger claims remain forbidden unless a later package supplies stronger local evidence.,PROVED_WITH_EVIDENCE,descriptive_only | PROOF_EXPANSION_ONLY_NO_EMPIRICAL_CLAIM,"Domain evidence row requires replay PASS, validation PASS, completion PASS, no blockers, acceptance criterion, falsifier, evidence refs, and explicit claim ceiling.",Evidence is bounded to the domain claim_level and completion claim_ceiling.,logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCOperational/Basic.lean,Replay status PASS_REPLAYABLE and validation status PASS pass; scientific_state=validated_strong; evidence_bar=HYBRID_ESCALATION.,A single replay divergence or surviving counterexample collapses promotion for the affected packet.,Depends on OC31-DOMAIN-DISCIPLINE-001 and the three domain evidence files.,Refs=13; acceptance=No replay divergence and no surviving counterexample against the promoted packet.; completion_status=PASS.,1,MATHEMATICS,2026-05-22T10:55:45.917616+00:00
