domain_or_chapter_id,row_id,obligation_kind,status,claim_level,claim_ceiling,next_evidence_packet
BIOLOGY,OC33-SOURCE-DOMAIN-BIOLOGY,source_graph_domain,EMPIRICALLY_PROVED_WITH_EVIDENCE,validated_predictive,QUANTITATIVE_PACKET_READY_NO_SEND,
CHEMISTRY,OC33-SOURCE-DOMAIN-CHEMISTRY,source_graph_domain,EMPIRICALLY_PROVED_WITH_EVIDENCE,validated_predictive,QUANTITATIVE_PACKET_READY_NO_SEND,
MATHEMATICS,OC33-SOURCE-DOMAIN-MATHEMATICS,source_graph_domain,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,descriptive_only,PROOF_EXPANSION_ONLY_NO_EMPIRICAL_CLAIM,
PHYSICS,OC33-SOURCE-DOMAIN-PHYSICS,source_graph_domain,EMPIRICALLY_PROVED_WITH_EVIDENCE,validated_predictive,QUANTITATIVE_PACKET_READY_NO_SEND,
SYSTEMS_CIVILIZATIONAL_PROJECTION,OC33-SOURCE-DOMAIN-SYSTEMS_CIVILIZATIONAL_PROJECTION,source_graph_domain,EMPIRICALLY_PROVED_WITH_EVIDENCE,validated_predictive,QUANTITATIVE_PACKET_READY_NO_SEND,
domain_projections_001_k0_physics,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-001-K0-PHYSICS,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_001_k0_physics: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_002_k1_chemistry,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-002-K1-CHEMISTRY,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_002_k1_chemistry: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_003_k2_biology,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-003-K2-BIOLOGY,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_003_k2_biology: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_004_k3_cognition,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-004-K3-COGNITION,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_004_k3_cognition: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_005_k4_agency,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-005-K4-AGENCY,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_005_k4_agency: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_006_k5_social,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-006-K5-SOCIAL,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_006_k5_social: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_007_k6_institutions,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_007_k6_institutions: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_008_k7_civilization,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_008_k7_civilization: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_017_k10_meta_theory,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K10-META-THEORY,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k10_meta_theory: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_017_k11_reflexive_systems,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k11_reflexive_systems: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_017_k12_grand_synthesis,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k12_grand_synthesis: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_017_k8_technology,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k8_technology: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
domain_projections_017_k9_ai_systems,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,project_graph_domain_chapter,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k9_ai_systems: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
