row_id,ordinal,source_family,obligation,status,artifact_ref,proof_or_boundary,falsifier_check,dependency_closure,next_action,updated_at
OC28-001,1,027+022 root principle,Bind source root principle to OC-U four-response schema,REPAIRED_AND_BOUND_TO_OCU,../../027/oc_universal_metamodel_repair/formal/OCUniversal/Basic.lean,"The old root sentence becomes theorem-grade only after repair: structured pressure is classified by evidenceBound, sameDescriptionRepair, extensionRepair, and invariantFailure. Lean total_stress_response_taxonomy gives the exhaustive OC-U response space; 025/027 retain the old two-outcome wording as refuted.",No same-description absorption counterexample can refute repaired OC-U because absorption is now an explicit outcome.,Dependency closes through OCU-027-T001..T006 and OCU-027-R001.,Use repaired central schema in article wording.,2026-05-22T10:03:34.537177+00:00
OC28-002,2,025/027 refutation guard,Refute old two-outcome universal fork as promoted formulation,REFUTED_OLD_FORMULATION,../../027/oc_universal_metamodel_repair/formal/ocu_python_witnesses.py,"The absorption witness archive_existing_redaction_repair has evidence and same-description repair, so it resolves pressure without extension and without collapse. Therefore the old fork is incomplete as a universal event law.",Falsifier would need to show absorption is impossible in the defined witness; Python witness classifies it as absorption.,Depends on 025 archive counterproof and 027 finite witnesses.,Keep old fork only as historical/refuted wording.,2026-05-22T10:03:34.537177+00:00
OC28-003,3,027 theorem chain,Prove allowed universal-language/metamodel claim,PROVED_UNIVERSAL_METAMODEL_THEOREM,../../027/oc_universal_metamodel_repair/formal/OCUniversal/Basic.lean,"OC-U defines Description with State, Observable, Constraint, Operator, Projection, Invariant, RepairClass, ExtensionClass, and EvidenceBinding. For any articulated description that supplies these fields, StressContext and classify produce one of four outcomes by total_stress_response_taxonomy.",A non-articulated domain is not a counterexample; it fails the entry condition and is classified as missing instantiation.,Depends on Description representation and total taxonomy theorem.,Allowed wording: universal over articulated descriptions.,2026-05-22T10:03:34.537177+00:00
OC28-004,4,026/027 operator repair,Repair operator catalogue claim,REPAIRED_AND_BOUND_TO_OCU,../../027/oc_universal_metamodel_repair/formal/OCUniversal/Basic.lean,The six operators are not globally unique or minimal. The theorem-grade claim is role separation under role-preserving semantic effect signatures; Lean role_preserving_operator_theorem proves effectCode is injective over the declared roles.,A generic rewrite operator refutes global minimality but not role-preserving separation.,"Closes through 025 operator countermodel, 026 role repair, and 027 Lean injectivity.",Forbid global-minimality wording.,2026-05-22T10:03:34.537177+00:00
OC28-005,5,026/027 K repair,Repair K0-K12 hierarchy claim,REPAIRED_AND_BOUND_TO_OCU,../../027/oc_universal_metamodel_repair/formal/OCUniversal/Basic.lean,"K0-K12 is repaired as a reference stratification. Lean k_ladder_reference_step proves adjacent rank increase under declared rankInvariant; k_ladder_reference_not_unique_as_count proves an alternative count exists, blocking unique/exhaustive wording.",Alternative strict chains are not counterexamples to reference-ladder use; they are counterexamples to uniqueness.,"Closes through 025 K count countermodel, 026 K repair, and 027 Lean K lemmas.",Use reference ladder wording only.,2026-05-22T10:03:34.537177+00:00
OC28-006,6,026 law repair,Repair law-like statements,REPAIRED_AND_BOUND_TO_OCU,../../026/oc_repair_proof_upgrade/formal/law_scope_admissibility_theorem.py,"OC law-like language is article-safe only when it names trigger, scope, boundary, operator, outcome criterion, and falsifier. Unconditional law wording is rejected by 025 and repaired by 026.","A same-description repair counterexample refutes unconditional law wording, not scoped theorem schemas.",Depends on 025 law countermodel and 026 law admissibility artifact.,Use scoped theorem schema language.,2026-05-22T10:03:34.537177+00:00
OC28-007,7,026 crown guard,Reclassify crown-stone claims,DOMAIN_INSTANTIATION_REQUIRED,../../026/oc_repair_proof_upgrade/formal/crown_core_rejection.py,"Crown-stone claims do not follow from OC-U core alone. The metamodel supplies obligations for theorem chains or domain evidence; until supplied, each crown stone remains outside article-promoted core.",A closed local theorem chain can promote a specific crown-stone later; absence of that chain prevents present promotion.,Depends on 025 crown dependency counterproof and 026 crown rejection.,Treat crown stones as conditional corollary candidates.,2026-05-22T10:03:34.537177+00:00
OC28-008,8,027 projection theorem,Reclassify domain projections,DOMAIN_INSTANTIATION_REQUIRED,../../027/oc_universal_metamodel_repair/formal/OCUniversal/Basic.lean,Lean projection_non_inflation proves validated projection entails localInstantiation. core_signature_alone_not_validation gives a core-signature case without validation. Therefore domain projections need local evidence.,"A domain with full local instantiation is compatible; it proves a projection locally, not from core alone.",Closes through OCU-027-T007 and OCU-027-D001.,"Require local observables, constraints, operators, falsifiers, and evidence.",2026-05-22T10:03:34.537177+00:00
OC28-009,9,TOE authority,Bind TOE FAIL_CLOSED metamodel gaps,DOMAIN_INSTANTIATION_REQUIRED,../../../../../../../k0/governance/status/TOE_PROGRAM_CLOSURE_AUTHORITY_latest.json,"TOE authority reported FAIL_CLOSED / REPAIR_METAMODEL with 75 metamodel gaps. 028 binds this as local/source obligation evidence: these gaps block broad publication or TOE closure, but do not refute OC-U classifier once the classifier is repaired and formalized.","If a TOE gap targeted the OC-U classifier theorem itself, it would reopen 027. The recorded gaps are metamodel/source/program gaps.",Depends on TOE authority facts and 027 root-cause audit.,Keep TOE closure separate from OC-U core theorem.,2026-05-22T10:03:34.537177+00:00
OC28-010,10,TOE blocker SCU_FAMILY_OC_K0_SUBSTRATE,Bind TOE K0 substrate blocker,REPAIRED_AND_BOUND_TO_OCU,../../027/oc_universal_metamodel_repair/formal/OCUniversal/Basic.lean,"K0 is retained as declared reference substrate vocabulary, not as a proved unique substrate of reality. This repairs the blocker by lowering only the overclaim while preserving K0 as an OC-U entry level.","A different possible substrate partition refutes uniqueness, not reference use.",Depends on K reference step and non-unique count guard.,Use K0 as reference-level primitive.,2026-05-22T10:03:34.537177+00:00
