requirement_ordinal,requirement_id,source_033_row_id,requirement_kind,target_id,status,required_packet,artifact_refs
3,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-004-K3-COGNITION,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-004-K3-COGNITION,domain_chapter_empirical_upgrade,K3 Cognitive Projection,OPEN,"Run a K3 cognition packet: ambiguous sentence/roadside perception tasks, reaction-time/error data, revision-vs-collapse criteria, and replication protocol.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K3_Cognitive_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
4,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-005-K4-AGENCY,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-005-K4-AGENCY,domain_chapter_empirical_upgrade,K4 Agency Projection,OPEN,"Run a K4 agency packet: decision tasks with observable constraints, interventions on options/resources, preregistered outcome criteria, and replay.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K4_Agency_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
5,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-006-K5-SOCIAL,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-006-K5-SOCIAL,domain_chapter_empirical_upgrade,K5 Social Projection,OPEN,"Run a K5 social packet: social-network or coordination dataset, boundary/operator labels, perturbation history, falsifiers, and replication script.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K5_Social_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
6,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,domain_chapter_empirical_upgrade,K6 Institutional Projection,OPEN,"Run a K6 institutions packet: source-bound policy/process dataset, procedure traces, compliance/failure metrics, and independent audit replay.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K6_Institutional_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
7,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,domain_chapter_empirical_upgrade,K7 Civilizational Projection,OPEN,"Run a K7 civilization packet: explicit historical cases, indicators, countercases, replayable coding rubric, and independent replication.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K7_Civilizational_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
8,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K10-META-THEORY,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K10-META-THEORY,domain_chapter_empirical_upgrade,K10 Meta-Theory Projection,OPEN,"Run a K10 meta-theory packet: formal theorem ledger, independent proof replay, countermodel set, and article boundary audit.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K10_Meta-Theory_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
9,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,domain_chapter_empirical_upgrade,K11 Reflexive Systems Projection,OPEN,"Run a K11 reflexive systems packet: self-monitoring system logs, intervention protocol, pre/post behavior metrics, and replay.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K11_Reflexive_Systems_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
10,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS,domain_chapter_empirical_upgrade,K12 Grand Synthesis Projection,OPEN,"Run a K12 synthesis packet: full graph validator, independent replay of all domain/crown packets, and article wording proof.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K12_Grand_Synthesis_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
11,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,domain_chapter_empirical_upgrade,K8 Technological Projection,OPEN,"Run a K8 technology packet: artifact benchmark, logs/test cases, failure modes, acceptance thresholds, and reproducible replay.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K8_Technological_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
12,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,domain_chapter_empirical_upgrade,K9 AI-System Projection,OPEN,"Run a K9 AI packet: eval suite, held-out tasks, tool/policy perturbations, error taxonomy, replay scripts, and acceptance gates.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K9_AI-System_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean
