source_id,candidate_kind,source_ref,source_statement,represented_row_id
SRC-OC33-SOURCE-DOMAIN-BIOLOGY,domain_projection,032:BIOLOGY,BIOLOGY source-domain projection inherited from 032.,OC33-SOURCE-DOMAIN-BIOLOGY
SRC-OC33-SOURCE-DOMAIN-CHEMISTRY,domain_projection,032:CHEMISTRY,CHEMISTRY source-domain projection inherited from 032.,OC33-SOURCE-DOMAIN-CHEMISTRY
SRC-OC33-SOURCE-DOMAIN-MATHEMATICS,domain_projection,032:MATHEMATICS,MATHEMATICS source-domain projection inherited from 032.,OC33-SOURCE-DOMAIN-MATHEMATICS
SRC-OC33-SOURCE-DOMAIN-PHYSICS,domain_projection,032:PHYSICS,PHYSICS source-domain projection inherited from 032.,OC33-SOURCE-DOMAIN-PHYSICS
SRC-OC33-SOURCE-DOMAIN-SYSTEMS_CIVILIZATIONAL_PROJECTION,domain_projection,032:SYSTEMS_CIVILIZATIONAL_PROJECTION,SYSTEMS_CIVILIZATIONAL_PROJECTION source-domain projection inherited from 032.,OC33-SOURCE-DOMAIN-SYSTEMS_CIVILIZATIONAL_PROJECTION
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-001-K0-PHYSICS,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_001_k0_physics,Monograph chapter domain_projections_001_k0_physics is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-001-K0-PHYSICS
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-002-K1-CHEMISTRY,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_002_k1_chemistry,Monograph chapter domain_projections_002_k1_chemistry is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-002-K1-CHEMISTRY
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-003-K2-BIOLOGY,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_003_k2_biology,Monograph chapter domain_projections_003_k2_biology is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-003-K2-BIOLOGY
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-004-K3-COGNITION,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_004_k3_cognition,Monograph chapter domain_projections_004_k3_cognition is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-004-K3-COGNITION
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-005-K4-AGENCY,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_005_k4_agency,Monograph chapter domain_projections_005_k4_agency is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-005-K4-AGENCY
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-006-K5-SOCIAL,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_006_k5_social,Monograph chapter domain_projections_006_k5_social is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-006-K5-SOCIAL
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_007_k6_institutions,Monograph chapter domain_projections_007_k6_institutions is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_008_k7_civilization,Monograph chapter domain_projections_008_k7_civilization is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K10-META-THEORY,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k10_meta_theory,Monograph chapter domain_projections_017_k10_meta_theory is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K10-META-THEORY
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k11_reflexive_systems,Monograph chapter domain_projections_017_k11_reflexive_systems is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k12_grand_synthesis,Monograph chapter domain_projections_017_k12_grand_synthesis is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k8_technology,Monograph chapter domain_projections_017_k8_technology is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY
SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k9_ai_systems,Monograph chapter domain_projections_017_k9_ai_systems is a source-defined K-domain projection obligation.,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS
SRC-OC33-CROWN-CROWN-CONDITIONAL-COROLLARY-RULE,crown_obligation,formal/OCEmpirical/Basic.lean; formal/python/empirical_witnesses_032.py; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite,CROWN_CONDITIONAL_COROLLARY_RULE inherited from 032 crown closure.,OC33-CROWN-CROWN-CONDITIONAL-COROLLARY-RULE
SRC-OC33-CROWN-CROWN-CORE-ONLY-OVERCLAIM,crown_obligation,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/crown_dependency_counterproof.py; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/026/oc_repair_proof_upgrade/formal/crown_core_rejection.py; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite,CROWN_CORE_ONLY_OVERCLAIM inherited from 032 crown closure.,OC33-CROWN-CROWN-CORE-ONLY-OVERCLAIM
SRC-OC33-CROWN-NAMED-INVENTORY-GAP,crown_inventory,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json,No named crown-stone nodes were found in the 022 public science graph; only crown boundary/guard rows are currently bound.,OC33-CROWN-NAMED-INVENTORY-GAP
SRC-OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,empirical_attack_response_gate,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units,Reviewer empirical attack/response artifacts must be bound row-by-row before full empirical theory wording.,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE
SRC-OC33-ARTICLE-FULL-EMPIRICAL-CLOSEOUT-GATE,article_gate,OC_FULL_EMPIRICAL_THEORY_ARTICLE_BOUNDARY_033.md,Full empirical theory wording is allowed only when no 033 row requires new local data.,OC33-ARTICLE-FULL-EMPIRICAL-CLOSEOUT-GATE
