claim_id,allowed_wording,forbidden_wording,current_boundary_status
OC-THEORY-DEF-001,"OC defines a typed vocabulary for descriptions, systems, states, axes, continua, boundaries, operators, constraints, contradictions, resolution, collapse, and dimension birth.",The primitive vocabulary proves the central principle or validates OC across domains.,BOUNDARY_CLOSED
OC-THEORY-CP-001,OC is an axiomatized framework built around a bounded central schema for unresolved incompatibility under stated trigger conditions.,OC has proved a universal law that unresolved contradiction always causes dimension birth or collapse.,BOUNDARY_CLOSED
OC-THEORY-THM-001,OC has a bounded internal admissibility theorem for claims invoking its central schema.,OC has proved that unresolved contradiction universally causes emergence or collapse across all domains.,BOUNDARY_CLOSED
OC-THEORY-OP-001,"OC uses a source-bound six-operator catalog: Birth, Differentiate, Stabilize, Project, Kill, Repair.",The six operators are proved minimal or complete over all systems.,BOUNDARY_CLOSED
OC-THEORY-OP-003,OC operators admit a local typed composition rule when domain/codomain types match and preservation/loss records are carried forward.,The six OC operators form a proved complete algebra or minimal universal dynamics.,BOUNDARY_CLOSED
OC-THEORY-OP-002,The six source operators are locally independent under the 024 typed-effect formalism.,"No other operator basis is possible, or the six operators are universally minimal across all formalisms.",BOUNDARY_CLOSED
OC-THEORY-K-001,OC uses a source-bound K0-K12 hierarchy vocabulary in its current core model.,"K0-K12 is proved unique, exhaustive, or non-collapsible.",BOUNDARY_CLOSED
OC-THEORY-K-002,OC proves adjacent K-level non-recovery under typed-extension invariants.,OC proves every empirical K-level is realized or that K0-K12 is unique.,BOUNDARY_CLOSED
OC-THEORY-K-003,OC uses K0-K12 as a source-bound ladder plus proved adjacent non-recovery; uniqueness/exhaustiveness is not claimed.,K0-K12 is the unique complete hierarchy of reality.,REFUTED_REPAIRED_BOUNDARY_CLOSED
OC-THEORY-LAW-001,"OC law-like statements are classified by theorem, axiom schema, empirical conjecture, or excluded metaphor status.",All OC law-like prose is automatically a proved law.,BOUNDARY_CLOSED
OC-THEORY-CROWN-001,Crown-stone material is conjectural extension unless individually theorem-bound.,Crown stones are established consequences of the 024 core.,EXCLUDED_FROM_CORE
OC-THEORY-DOMAIN-001,Domain projections are applications requiring local evidence/falsifiers; they are not core validation.,Domain examples globally validate OC.,EXCLUDED_FROM_CORE
OC-THEORY-ARTICLE-001,OC Core 1.4 is article-eligible as a bounded axiomatic theory of description change with explicit exclusions.,OC proves a universal law of all domains or a unique K hierarchy of reality.,BOUNDARY_CLOSED
