path,sha256,size_bytes,public_safe,private_safe
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_READINESS_FULFILLMENT_ORDER_045.md,3a6b1480e0a2e70f3d42da542ca44a3cdf3ab32e1a70b45b4cf677209563411d,733,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_READINESS_FULFILLMENT_ATLAS_045.md,8d38697acde670b049bafde4dc9f7bc768a54f099605bbffa19ea31de2b83a24,15444,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_EAQ_CLOSURE_PACKET_045.md,2da5da94717cce099a7f2105e1598b31e3b37cdf3df3577abe514d66fcb1ae3b,3343,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,b59aa6644397b772386a9af437af6c9805e3fc131af931670336ea7fe1ce7f6d,2200,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,53b533990252e4bbda98fad927cbcc963d6beeae8a8d398d208eb1800df2c627,1497,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,8bc79398bb4ebf7845c93470ff3dc19f860bccd3e98498222d7575a1bc439ad9,928,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_PUBLICATION_AND_MONOGRAPH_PACKET_045.md,ac9120ee43b2002e8406399793dbf7dbe7d64c396c893d3efe618528659f6687,2250,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_SURFACE_SYNC_MATRIX_045.md,994c333d70731c5dc7d76afe05c79131a3fb78be9016a818855ecfabd0b2b374,1268,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,cf2dc1492a5865433abdcf4e696e2e7339672fb84ecaf4302f3d61863fbdf2fc,766,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,8c716747c4ca8b15c11527da9d30f07ac1987cbe4d9ae2a004a7cc8a3c0484ba,1010,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_DUAL_REPO_RELEASE_MANIFEST_045.md,9db0e1493c26857b68fc8ba5751e806e54542b708621677f3466bf4539352222,723,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_READINESS_FULFILLMENT_NOTEBOOK_045.md,b9f7e2e77e7f378bc61cb983dabb8e30e96375a0f3131f38bcd00e2cdb920245,404,0,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/DATASET_MANIFEST_045.json,8dc1150aa77265ea43d6520c21c1cf568c84ddc90bb2a4bc7053b34065a951a5,835,1,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/PUBLIC_SCIENCE_PAYLOAD_MANIFEST_045.json,4a177919788d2c7e2bc1c871a69997a0e411970c93a28171e21d7354b6ef9281,947,1,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_PUBLIC_SCIENCE_READINESS_PACKET_045.md,daf9df2d7338a4e187c270685900d688a922da92c8d4c93264737ea171cc52fe,1124,1,1
