blocker_id,source_requirement_id,lane_id,blocker_title,blocker_class,self_actions,external_action,final_status,evidence_refs,limitation,verification_note
BUS-002-A,BUS-002,BUSINESS_COMMERCIAL,"Market, pricing, and alternative scan",market-self-audit,"Build public competitor matrix, pricing posture, buyer-risk map, and ROI assumption model.",None for self-audit; real market proof still needs pilots or customer evidence.,CLOSED_BY_SELF_AUDIT_WITH_LIMITATION,<PUBLIC_BOUNDARY_REDACTED_FILENAME>; WEB-LEANIX-PRICING; WEB-ARDOQ-PRICING; WEB-BIZZDESIGN-PRICING,Not client-proven and not revenue-proven.,Closed as an internal market/pricing evidence packet only.
BUS-002-B,BUS-002,BUSINESS_COMMERCIAL,Client proof and ROI validation,true-external-client-evidence,"Create pilot-proof protocol, ROI spreadsheet assumptions, acceptance criteria, and no-send boundary.",Run a real pilot or obtain owner risk acceptance explicitly marked as non-client proof.,BLOCKED_REQUIRES_TRUE_EXTERNAL_PARTY,<PUBLIC_BOUNDARY_REDACTED_FILENAME>; <PUBLIC_BOUNDARY_REDACTED_FILENAME>,Internal assumptions cannot prove client ROI or buyer adoption.,Kept blocked; only the protocol and assumptions are complete.
BUS-003-A,BUS-003,BUSINESS_COMMERCIAL,IP/FTO/license/public-disclosure self-audit,legal-risk-self-audit,"Map public/private materials, third-party licenses, dataset policy, AI disclosure, and publication risk.","Counsel review for legal opinion, IP/FTO, and release approval.",CLOSED_BY_SELF_AUDIT_WITH_LIMITATION,<PUBLIC_BOUNDARY_REDACTED_FILENAME>; WEB-EU-AI-ACT; WEB-ISO-42001,"Useful risk work; not legal advice, FTO opinion, or compliance certification.",Closed as self-audit with limitation; counsel gate remains separate.
BUS-003-B,BUS-003,BUSINESS_COMMERCIAL,Counsel/legal opinion and public-release authorization,external-counsel-owner-gate,Prepare legal-review packet and public/private exclusion map.,Owner and counsel sign release/legal decision.,BLOCKED_REQUIRES_OWNER_DECISION,<PUBLIC_BOUNDARY_REDACTED_FILENAME>; <PUBLIC_BOUNDARY_REDACTED_FILENAME>,Cannot be closed by Codex self-audit.,Explicit owner/counsel packet created; no legal conclusion claimed.
GOV-003-A,GOV-003,CORPORATE_GOVERNANCE,"RACI, decision logs, and release decision packet",internal-governance-artifact,"Create owner/counsel/client decision templates, RACI, no-send gates, and traceability requirements.",Owner/counsel/client parties later sign or explicitly reject.,CLOSED_BY_INTERNAL_ARTIFACTS,<PUBLIC_BOUNDARY_REDACTED_FILENAME>,Templates are complete; signatures are not present.,Internal governance packet exists and is validator-bound.
GOV-003-B,GOV-003,CORPORATE_GOVERNANCE,Signed owner/counsel/client decision logs,owner-and-external-signature,None beyond packet preparation.,"Owner, counsel, or client signs the applicable release/gate.",BLOCKED_REQUIRES_OWNER_DECISION,<PUBLIC_BOUNDARY_REDACTED_FILENAME>,Unsigned logs cannot be treated as passed gates.,Kept blocked by design.
EA2O-005-A,EA2O-005,EA_SECOND_OPINION,Internal red-team EA Second Opinion replay,internal-adversarial-validation,Run internal red-team scenario set over public-case architecture risks and no-send decisions.,Real client validation remains separate.,CLOSED_BY_INTERNAL_ARTIFACTS,<PUBLIC_BOUNDARY_REDACTED_FILENAME>; <PUBLIC_BOUNDARY_REDACTED_FILENAME>; WEB-ISO-42010; WEB-TOGAF; WEB-ARCHIMATE,Not client-safe external proof.,Internal replay and red-team packet complete.
EA2O-005-B,EA2O-005,EA_SECOND_OPINION,Client-safe external validation,true-external-client-evidence,Prepare benchmark and acceptance protocol.,Run with real client or independently published case evidence.,BLOCKED_REQUIRES_TRUE_EXTERNAL_PARTY,<PUBLIC_BOUNDARY_REDACTED_FILENAME>; <PUBLIC_BOUNDARY_REDACTED_FILENAME>,No client outcome promised.,Kept blocked; internal validation is not client validation.
TOOL-005-A,TOOL-005,ESTRA_TOOLKIT,"Dogfood usability, support model, and no-send behavior",internal-product-qa,"Create dogfood QA scenarios, support/runbook, failure messages, no-send behavior, and evidence ceilings.",External user testing remains separate.,CLOSED_BY_INTERNAL_ARTIFACTS,<PUBLIC_BOUNDARY_REDACTED_FILENAME>; <PUBLIC_BOUNDARY_REDACTED_FILENAME>,Not external user validation.,Internal product support and no-send packet complete.
TOOL-005-B,TOOL-005,ESTRA_TOOLKIT,External user tests,true-external-user-evidence,Define external user-test plan and acceptance criteria.,Recruit and run external user tests.,BLOCKED_REQUIRES_TRUE_EXTERNAL_PARTY,<PUBLIC_BOUNDARY_REDACTED_FILENAME>,Dogfood cannot be sold as external validation.,Blocked until external users exist.
MON-004-A,MON-004,MONOGRAPH_BOOK,"Book rights, AI disclosure, acknowledgements, and public/private map",publication-self-audit,"Create rights checklist, AI disclosure, acknowledgement map, internal-path leakage audit, and owner-release packet.",Owner release decision remains required.,CLOSED_BY_SELF_AUDIT_WITH_LIMITATION,OC_WORLD_READY_ARTICLE_MONOGRAPH_PACKET_046.md; <PUBLIC_BOUNDARY_REDACTED_FILENAME>,Self-audit only; not owner publication authorization.,Book-readiness material is internally complete for review packet.
MON-004-B,MON-004,MONOGRAPH_BOOK,Owner release decision for book,owner-release-gate,Prepare release packet.,Owner decides publish/no-publish.,BLOCKED_REQUIRES_OWNER_DECISION,OC_WORLD_READY_ARTICLE_MONOGRAPH_PACKET_046.md; <PUBLIC_BOUNDARY_REDACTED_FILENAME>,No owner-send is implied.,Owner gate remains explicit.
PUB-005-A,PUB-005,PUBLICATION_ARTICLE,"Venue matrix, cover letter, ethics/disclosure, reviewer response pack",publication-self-audit,"Create target venue matrix, article thesis, disclosure checklist, reproducibility claims, and reviewer attack response.",Owner-send remains required.,CLOSED_BY_SELF_AUDIT_WITH_LIMITATION,OC_WORLD_READY_ARTICLE_MONOGRAPH_PACKET_046.md; WEB-APPLIED-ONTOLOGY; WEB-SRBS; WEB-MINDS-MACHINES,"Internally journal-ready packet, not submitted article.",Publication packet complete at no-send ceiling.
PUB-005-B,PUB-005,PUBLICATION_ARTICLE,Owner-send and journal submission decision,owner-release-gate,Prepare cover letter and no-send conditions.,Owner chooses venue and sends submission.,BLOCKED_REQUIRES_OWNER_DECISION,OC_WORLD_READY_ARTICLE_MONOGRAPH_PACKET_046.md; <PUBLIC_BOUNDARY_REDACTED_FILENAME>,No submission has occurred.,Owner-send gate remains explicit.
HIDDEN-HEAVY-MATERIALIZATION,HIDDEN-HEAVY,SURFACE_CONSISTENCY,Deferred heavy surface materialization,internal-surface-materialization,"Run FULL owner surface materialization, diagnose the disabled-surface registry mismatch, patch autoderive to skip disabled target ids instead of failing, and record remaining heavy-runtime limitation.",None for the registry mismatch; a later owner/runtime pass may rerun long frontier materialization outside this 046 closeout.,CLOSED_BY_SELF_AUDIT_WITH_LIMITATION,OC_HEAVY_MATERIALIZATION_REPAIR_NOTE_046.md; <PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k0/governance/status/LOGION_POST_CLOSEOUT_DEFERRED_HEAVY_MATERIALIZATION_latest.json,The hidden blocker is diagnosed and the immediate disabled-surface crash is repaired; a long frontier/t1 factory pass can still require a separate runtime window.,"046 validator checks affected surface artifacts, the autoderive disabled-surface guard, and the repair note."
HIDDEN-PUBLIC-REPO-DIRTY,HIDDEN-PUBLIC-REPO,PUBLIC_RELEASE,Public repo unrelated dirty release/demo changes,public-repo-reconciliation,"Inventory dirty files, classify as science/demo/generated/private-risk, and export only validated public-safe 046 payload.",Owner later decides what to do with unrelated public dirty slices.,CLOSED_BY_INTERNAL_ARTIFACTS,OC_PUBLIC_REPO_RECONCILIATION_046.md; PUBLIC_SCIENCE_PAYLOAD_MANIFEST_046.json,Does not revert or silently publish unrelated public dirty work.,Inventory is complete and public payload is separately bounded.
HIDDEN-MASTER-BOOK-SYNC,HIDDEN-MASTER-BOOK,SURFACE_CONSISTENCY,Master-book older fail-closed wording,surface-wording-sync,Add 046 supersession note and keep external ROI/legal/client/owner blockers explicit.,Owner later approves business publication wording.,CLOSED_BY_INTERNAL_ARTIFACTS,<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,Business/legal/client claims still blocked.,Surface wording now points to 046 boundary.
