source_033_row_id,source_ordinal,candidate_kind,source_ref,source_statement,claim_level,claim_ceiling,next_evidence_packet
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-002-K1-CHEMISTRY,7,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_002_k1_chemistry,Monograph chapter domain_projections_002_k1_chemistry is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_002_k1_chemistry: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-003-K2-BIOLOGY,8,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_003_k2_biology,Monograph chapter domain_projections_003_k2_biology is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_003_k2_biology: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-004-K3-COGNITION,9,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_004_k3_cognition,Monograph chapter domain_projections_004_k3_cognition is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_004_k3_cognition: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-005-K4-AGENCY,10,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_005_k4_agency,Monograph chapter domain_projections_005_k4_agency is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_005_k4_agency: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-006-K5-SOCIAL,11,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_006_k5_social,Monograph chapter domain_projections_006_k5_social is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_006_k5_social: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,12,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_007_k6_institutions,Monograph chapter domain_projections_007_k6_institutions is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_007_k6_institutions: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,13,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_008_k7_civilization,Monograph chapter domain_projections_008_k7_civilization is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_008_k7_civilization: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K10-META-THEORY,14,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k10_meta_theory,Monograph chapter domain_projections_017_k10_meta_theory is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k10_meta_theory: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,15,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k11_reflexive_systems,Monograph chapter domain_projections_017_k11_reflexive_systems is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k11_reflexive_systems: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS,16,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k12_grand_synthesis,Monograph chapter domain_projections_017_k12_grand_synthesis is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k12_grand_synthesis: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,17,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k8_technology,Monograph chapter domain_projections_017_k8_technology is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k8_technology: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,18,domain_projection_chapter,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_017_k9_ai_systems,Monograph chapter domain_projections_017_k9_ai_systems is a source-defined K-domain projection obligation.,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,"Build chapter-level empirical/domain packet for domain_projections_017_k9_ai_systems: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling."
OC33-CROWN-NAMED-INVENTORY-GAP,21,crown_inventory,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json,No named crown-stone nodes were found in the 022 public science graph; only crown boundary/guard rows are currently bound.,named_crown_inventory,NO_NAMED_CROWN_PROMOTION_WITHOUT_SOURCE_INVENTORY,Recover exact named crown-stone statements from source materials and add one theorem-chain/evidence row per named crown stone.
OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,22,empirical_attack_response_gate,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units,Reviewer empirical attack/response artifacts must be bound row-by-row before full empirical theory wording.,reviewer_attack_response_gate,NO_FULL_EMPIRICAL_WORDING_WITHOUT_ATTACK_RESPONSE_BINDING,"Map each reviewer empirical attack/response artifact to a domain/crown row, evidence packet, falsifier, and verification note."
OC33-ARTICLE-FULL-EMPIRICAL-CLOSEOUT-GATE,23,article_gate,OC_FULL_EMPIRICAL_THEORY_ARTICLE_BOUNDARY_033.md,Full empirical theory wording is allowed only when no 033 row requires new local data.,article_gate,FULL_EMPIRICAL_CLOSEOUT_FORBIDDEN_WHILE_OPEN_ROWS_EXIST,"Close every REQUIRES_NEW_LOCAL_DATA row, rerun validators, then reopen this gate."
