row_id,ordinal,candidate_kind,source_id,source_ref,source_statement,promoted_statement,status,claim_level,claim_ceiling,formal_proposition,assumptions,artifact_refs,proof_or_evidence,falsifier_check,dependency_closure,verification_note,next_evidence_packet,article_eligible,updated_at
OC33-SOURCE-DOMAIN-BIOLOGY,1,domain_projection,SRC-OC33-SOURCE-DOMAIN-BIOLOGY,032:BIOLOGY,BIOLOGY source-domain projection inherited from 032.,BIOLOGY remains empirically proved with evidence at its recorded 032 ceiling.,EMPIRICALLY_PROVED_WITH_EVIDENCE,validated_predictive,QUANTITATIVE_PACKET_READY_NO_SEND,A current source-domain projection is promoted only under complete 032 local evidence and exact claim ceiling.,"032 validator passed; replay, validation, completion, no-blocker, acceptance, falsifier, and refs are source-bound.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCFullEmpirical/Basic.lean,032 status=EMPIRICALLY_PROVED_WITH_EVIDENCE; replay=PASS_REPLAYABLE; validation=PASS; completion=PASS; blockers=0; refs=13.,"If the bounded signature family fails on held-out datasets, the biological packet remains frontier-bound.",Depends on 032 domain row and 031 evidence binding.,acceptance=The promoted biological packet reproduces the declared measurable signatures on held-out datasets without widening the claim boundary.,,1,2026-05-22T11:20:35.236428+00:00
OC33-SOURCE-DOMAIN-CHEMISTRY,2,domain_projection,SRC-OC33-SOURCE-DOMAIN-CHEMISTRY,032:CHEMISTRY,CHEMISTRY source-domain projection inherited from 032.,CHEMISTRY remains empirically proved with evidence at its recorded 032 ceiling.,EMPIRICALLY_PROVED_WITH_EVIDENCE,validated_predictive,QUANTITATIVE_PACKET_READY_NO_SEND,A current source-domain projection is promoted only under complete 032 local evidence and exact claim ceiling.,"032 validator passed; replay, validation, completion, no-blocker, acceptance, falsifier, and refs are source-bound.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCFullEmpirical/Basic.lean,032 status=EMPIRICALLY_PROVED_WITH_EVIDENCE; replay=PASS_REPLAYABLE; validation=PASS; completion=PASS; blockers=0; refs=13.,"A held-out thermochemical, spectral, or kinetic family outside tolerance collapses the promoted chemistry packet.",Depends on 032 domain row and 031 evidence binding.,acceptance=Declared chemistry benchmark families pass the tolerance envelope on held-out compounds or reactions.,,1,2026-05-22T11:20:35.236428+00:00
OC33-SOURCE-DOMAIN-MATHEMATICS,3,domain_projection,SRC-OC33-SOURCE-DOMAIN-MATHEMATICS,032:MATHEMATICS,MATHEMATICS source-domain projection inherited from 032.,MATHEMATICS remains formally/descriptively proved and is not promoted as empirical.,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,descriptive_only,PROOF_EXPANSION_ONLY_NO_EMPIRICAL_CLAIM,A current source-domain projection is promoted only under complete 032 local evidence and exact claim ceiling.,"032 validator passed; replay, validation, completion, no-blocker, acceptance, falsifier, and refs are source-bound.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCFullEmpirical/Basic.lean,032 status=PROVED_AS_DESCRIPTIVE_PROJECTION; replay=PASS_REPLAYABLE; validation=PASS; completion=PASS; blockers=0; refs=13.,A single replay divergence or surviving counterexample collapses promotion for the affected packet.,Depends on 032 domain row and 031 evidence binding.,acceptance=No replay divergence and no surviving counterexample against the promoted packet.,,1,2026-05-22T11:20:35.236428+00:00
OC33-SOURCE-DOMAIN-PHYSICS,4,domain_projection,SRC-OC33-SOURCE-DOMAIN-PHYSICS,032:PHYSICS,PHYSICS source-domain projection inherited from 032.,PHYSICS remains empirically proved with evidence at its recorded 032 ceiling.,EMPIRICALLY_PROVED_WITH_EVIDENCE,validated_predictive,QUANTITATIVE_PACKET_READY_NO_SEND,A current source-domain projection is promoted only under complete 032 local evidence and exact claim ceiling.,"032 validator passed; replay, validation, completion, no-blocker, acceptance, falsifier, and refs are source-bound.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCFullEmpirical/Basic.lean,032 status=EMPIRICALLY_PROVED_WITH_EVIDENCE; replay=PASS_REPLAYABLE; validation=PASS; completion=PASS; blockers=0; refs=13.,Any benchmark family with residuals outside tolerance or with broken sign/order constraints falsifies the promoted packet.,Depends on 032 domain row and 031 evidence binding.,acceptance=Held-out residuals stay inside the declared tolerance band for every promoted benchmark family.,,1,2026-05-22T11:20:35.236428+00:00
OC33-SOURCE-DOMAIN-SYSTEMS_CIVILIZATIONAL_PROJECTION,5,domain_projection,SRC-OC33-SOURCE-DOMAIN-SYSTEMS_CIVILIZATIONAL_PROJECTION,032:SYSTEMS_CIVILIZATIONAL_PROJECTION,SYSTEMS_CIVILIZATIONAL_PROJECTION source-domain projection inherited from 032.,SYSTEMS_CIVILIZATIONAL_PROJECTION remains empirically proved with evidence at its recorded 032 ceiling.,EMPIRICALLY_PROVED_WITH_EVIDENCE,validated_predictive,QUANTITATIVE_PACKET_READY_NO_SEND,A current source-domain projection is promoted only under complete 032 local evidence and exact claim ceiling.,"032 validator passed; replay, validation, completion, no-blocker, acceptance, falsifier, and refs are source-bound.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCFullEmpirical/Basic.lean,032 status=EMPIRICALLY_PROVED_WITH_EVIDENCE; replay=PASS_REPLAYABLE; validation=PASS; completion=PASS; blockers=0; refs=13.,A missed turning point or out-of-band held-out trajectory falsifies the promoted systems packet.,Depends on 032 domain row and 031 evidence binding.,acceptance=Declared trajectory and regime-change observables remain inside tolerance on held-out intervals.,,1,2026-05-22T11:20:35.236428+00:00
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-001-K0-PHYSICS,6,domain_projection_chapter,SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-001-K0-PHYSICS,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_001_k0_physics,Monograph chapter domain_projections_001_k0_physics is a source-defined K-domain projection obligation.,domain_projections_001_k0_physics is not empirically promoted until its own local evidence packet exists.,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,A monograph K-domain projection chapter is not empirically proved by the five coarse source-domain rows alone.,"Project graph chapter references are inventory evidence, not empirical proof packets.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/project_graph/PROJECT_TO_SCIENTIFIC_GRAPH_MAP.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; formal/OCFullEmpirical/Basic.lean,Project graph discovers the chapter; no chapter-level local evidence package is bound in 033 inputs.,A falsifier would provide the chapter-level local evidence packet and independent verification.,Depends on OC domain discipline and future chapter-level evidence packet.,chapter_packet=CNP011__master_monograph__domain_projections_001_k0_physics,"Build chapter-level empirical/domain packet for domain_projections_001_k0_physics: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling.",0,2026-05-22T11:20:35.236428+00:00
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-002-K1-CHEMISTRY,7,domain_projection_chapter,SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-002-K1-CHEMISTRY,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_002_k1_chemistry,Monograph chapter domain_projections_002_k1_chemistry is a source-defined K-domain projection obligation.,domain_projections_002_k1_chemistry is not empirically promoted until its own local evidence packet exists.,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,A monograph K-domain projection chapter is not empirically proved by the five coarse source-domain rows alone.,"Project graph chapter references are inventory evidence, not empirical proof packets.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/project_graph/PROJECT_TO_SCIENTIFIC_GRAPH_MAP.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; formal/OCFullEmpirical/Basic.lean,Project graph discovers the chapter; no chapter-level local evidence package is bound in 033 inputs.,A falsifier would provide the chapter-level local evidence packet and independent verification.,Depends on OC domain discipline and future chapter-level evidence packet.,chapter_packet=CNP011__master_monograph__domain_projections_002_k1_chemistry,"Build chapter-level empirical/domain packet for domain_projections_002_k1_chemistry: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling.",0,2026-05-22T11:20:35.236428+00:00
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-003-K2-BIOLOGY,8,domain_projection_chapter,SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-003-K2-BIOLOGY,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_003_k2_biology,Monograph chapter domain_projections_003_k2_biology is a source-defined K-domain projection obligation.,domain_projections_003_k2_biology is not empirically promoted until its own local evidence packet exists.,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,A monograph K-domain projection chapter is not empirically proved by the five coarse source-domain rows alone.,"Project graph chapter references are inventory evidence, not empirical proof packets.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/project_graph/PROJECT_TO_SCIENTIFIC_GRAPH_MAP.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; formal/OCFullEmpirical/Basic.lean,Project graph discovers the chapter; no chapter-level local evidence package is bound in 033 inputs.,A falsifier would provide the chapter-level local evidence packet and independent verification.,Depends on OC domain discipline and future chapter-level evidence packet.,chapter_packet=CNP011__master_monograph__domain_projections_003_k2_biology,"Build chapter-level empirical/domain packet for domain_projections_003_k2_biology: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling.",0,2026-05-22T11:20:35.236428+00:00
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-004-K3-COGNITION,9,domain_projection_chapter,SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-004-K3-COGNITION,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_004_k3_cognition,Monograph chapter domain_projections_004_k3_cognition is a source-defined K-domain projection obligation.,domain_projections_004_k3_cognition is not empirically promoted until its own local evidence packet exists.,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,A monograph K-domain projection chapter is not empirically proved by the five coarse source-domain rows alone.,"Project graph chapter references are inventory evidence, not empirical proof packets.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/project_graph/PROJECT_TO_SCIENTIFIC_GRAPH_MAP.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; formal/OCFullEmpirical/Basic.lean,Project graph discovers the chapter; no chapter-level local evidence package is bound in 033 inputs.,A falsifier would provide the chapter-level local evidence packet and independent verification.,Depends on OC domain discipline and future chapter-level evidence packet.,chapter_packet=CNP011__master_monograph__domain_projections_004_k3_cognition,"Build chapter-level empirical/domain packet for domain_projections_004_k3_cognition: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling.",0,2026-05-22T11:20:35.236428+00:00
OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-005-K4-AGENCY,10,domain_projection_chapter,SRC-OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-005-K4-AGENCY,public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json#master_monograph__domain_projections_005_k4_agency,Monograph chapter domain_projections_005_k4_agency is a source-defined K-domain projection obligation.,domain_projections_005_k4_agency is not empirically promoted until its own local evidence packet exists.,REQUIRES_NEW_LOCAL_DATA,chapter_level_projection,NO_EMPIRICAL_PROMOTION_WITHOUT_CHAPTER_LOCAL_EVIDENCE,A monograph K-domain projection chapter is not empirically proved by the five coarse source-domain rows alone.,"Project graph chapter references are inventory evidence, not empirical proof packets.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/project_graph/PROJECT_TO_SCIENTIFIC_GRAPH_MAP.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; formal/OCFullEmpirical/Basic.lean,Project graph discovers the chapter; no chapter-level local evidence package is bound in 033 inputs.,A falsifier would provide the chapter-level local evidence packet and independent verification.,Depends on OC domain discipline and future chapter-level evidence packet.,chapter_packet=CNP011__master_monograph__domain_projections_005_k4_agency,"Build chapter-level empirical/domain packet for domain_projections_005_k4_agency: exact claim, local observables, constraints, operator map, invariants, falsifier, replay/replication, evidence refs, and claim ceiling.",0,2026-05-22T11:20:35.236428+00:00
