source_id,title,url,source_type,access_date,claim_ceiling
WEB-ISO-42010,"ISO/IEC/IEEE 42010:2022, Software, systems and enterprise - Architecture description",https://www.iso.org/standard/74393.html,architecture-standard,2026-05-22,Used as architecture-description related-work and EA2O boundary reference; not proof of OC market outcomes.
WEB-TOGAF,"The TOGAF Standard, 10th Edition",https://pubs.opengroup.org/togaf-standard/,enterprise-architecture-framework,2026-05-22,Used as competitor/alternative and related-work reference; not evidence of Estra Toolkit superiority.
WEB-ARCHIMATE,ArchiMate 3.2 Specification,https://pubs.opengroup.org/architecture/archimate32-doc/,enterprise-architecture-language,2026-05-22,Used as modeling-language comparison reference for EA Second Opinion.
WEB-NIST-AI-RMF,NIST Artificial Intelligence Risk Management Framework (AI RMF 1.0),https://www.nist.gov/itl/ai-risk-management-framework,risk-framework,2026-05-22,Used for AI/automation readiness and risk-governance boundary; not legal advice.
WEB-EU-AI-ACT,Regulation (EU) 2024/1689 laying down harmonised rules on artificial intelligence,https://eur-lex.europa.eu/eli/reg/2024/1689/oj,law-reference,2026-05-22,Used for public-release/legal risk map only; not counsel opinion or compliance certification.
WEB-ISO-42001,ISO/IEC 42001:2023 Information technology - Artificial intelligence - Management system,https://www.iso.org/standard/81230.html,ai-management-standard,2026-05-22,Used as governance benchmark for AI/system tooling claims.
WEB-LEANIX-PRICING,SAP LeanIX pricing page,https://www.leanix.net/en/pricing,market-pricing-reference,2026-05-22,Used for market/pricing scan and competitor matrix; not proof of customer willingness to pay.
WEB-ARDOQ-PRICING,Ardoq pricing page,https://www.ardoq.com/pricing,market-pricing-reference,2026-05-22,Used for market/pricing scan and competitor matrix; not proof of customer willingness to pay.
WEB-BIZZDESIGN-PRICING,Bizzdesign pricing contact page,https://bizzdesign.com/contact/,market-pricing-reference,2026-05-22,Used where public pricing is not transparent: enterprise EA vendors often require sales contact.
WEB-APPLIED-ONTOLOGY,Applied Ontology journal aims and scope,https://www.iospress.com/catalog/journals/applied-ontology,venue-reference,2026-05-22,Candidate venue reference for bounded formal ontology/model paper.
WEB-SRBS,Systems Research and Behavioral Science aims and scope,https://onlinelibrary.wiley.com/journal/10991743,venue-reference,2026-05-22,Candidate venue reference for systems/metamodel contribution.
WEB-MINDS-MACHINES,Minds and Machines journal aims and scope,https://link.springer.com/journal/11023,venue-reference,2026-05-22,Candidate venue reference for formal/model and AI/philosophy framing.
