artifact_id,claim_id,terminal_status,proof_body_ref,verification_note,dependency_closure_note,article_boundary_note,created_at_utc
1,OC-THEORY-DEF-001,AXIOM_ACCEPTED_WITH_BOUNDARY,OC_THEORY_CORE_NOTEBOOK_024.md#primitive-definition-package---terminal-decision-024-d001,"Definitions are source-bound and anti-circular: contradiction, dimension birth, and collapse are separated.","Primitive package has no earlier OC theory dependencies; it is the foundation dependency for CP, operators, and K-levels.","Definitions may be used as OC vocabulary, but they do not prove central principle, operator minimality, K hierarchy, or domain projections.",2026-05-22T08:53:14Z
2,OC-THEORY-CP-001,AXIOM_ACCEPTED_WITH_BOUNDARY,OC_THEORY_CORE_NOTEBOOK_024.md#central-principle-terminal-decision-024-cp001,Theorem route would be non-circular only under exhaustive definitions; accepted route is bounded axiom schema with trigger exclusions.,"Depends on OC-THEORY-DEF-001, which is closed as axiomatic primitive vocabulary.","May be called central axiom/schema, not proved universal law.",2026-05-22T08:54:43Z
3,OC-THEORY-THM-001,PROVED_THEOREM,OC_THEORY_CORE_NOTEBOOK_024.md#theorem-024-t001---oc-claim-admissibility,"Proof derives required claim fields from primitive definitions and the bounded central axiom schema; it is an admissibility theorem, not empirical validation.",Closed dependencies: OC-THEORY-DEF-001 and OC-THEORY-CP-001. Operator-closure dependency dropped as out of scope for this first theorem.,May say OC has a bounded internal admissibility theorem; may not say OC proved a universal law across domains.,2026-05-22T08:54:43Z
4,OC-THEORY-OP-001,AXIOM_ACCEPTED_WITH_BOUNDARY,OC_THEORY_CORE_NOTEBOOK_024.md#operator-catalog-decision-024-op001,The six operator labels are recovered from the 022 public science graph as DEFINITIONAL_SOURCE_BOUND operator nodes.,"Depends on primitive operator definition from OC-THEORY-DEF-001, which is closed.",May state source-bound operator catalog; may not state minimality or complete composition laws.,2026-05-22T08:55:33Z
5,OC-THEORY-OP-003,PROVED_THEOREM,OC_THEORY_CORE_NOTEBOOK_024.md#theorem-024-op003---typed-operator-composition,Proof follows from the accepted typed operator definition: composition is admissible only on matched domain/codomain types and carries preservation/loss records.,Closed dependencies: OC-THEORY-DEF-001 and OC-THEORY-OP-001.,"May state local typed composition rule; may not claim minimality, complete algebra, or universal dynamics.",2026-05-22T08:56:11Z
6,OC-THEORY-OP-002,PROVED_THEOREM,OC_THEORY_CORE_NOTEBOOK_024.md#theorem-024-op002---local-operator-independence,Proof supplies one effect-invariant witness fragment per operator under the selected typed-effect formalism.,"Closed dependencies: primitive package, source-bound operator catalog, typed composition rule.",May state local independence/minimality under selected effect invariants; may not state unique global minimal basis.,2026-05-22T08:56:56Z
7,OC-THEORY-K-001,AXIOM_ACCEPTED_WITH_BOUNDARY,OC_THEORY_CORE_NOTEBOOK_024.md#k-level-definition-package-024-k001,K0-K12 labels are recovered from the 022 public science graph as source-bound K-level nodes.,Depends on primitive vocabulary; distinctness/count theorem remains separate.,"May state current OC source hierarchy vocabulary; may not state uniqueness, non-collapse, or complete partition theorem.",2026-05-22T08:57:35Z
8,OC-THEORY-K-002,PROVED_THEOREM,OC_THEORY_CORE_NOTEBOOK_024.md#theorem-024-k002---adjacent-k-level-non-recovery,Typed reduct/expansion witnesses show higher-level invariants are not recoverable from lower reducts.,Depends on K-level vocabulary and primitive typed-structure rules; both closed.,May state adjacent non-recovery under typed-extension invariants; may not state unique hierarchy.,2026-05-22T09:16:25Z
9,OC-THEORY-K-003,REFUTED_AND_REPAIRED,OC_THEORY_CORE_NOTEBOOK_024.md#countpartition-decision-024-k003,Strong uniqueness/exhaustiveness/count theorem is not proved; repaired to source-bound ladder plus non-recovery theorem.,"Depends on K002, now closed.",Must avoid unique/exhaustive K0-K12 wording.,2026-05-22T09:16:25Z
10,OC-THEORY-LAW-001,AXIOM_ACCEPTED_WITH_BOUNDARY,OC_THEORY_CORE_NOTEBOOK_024.md#law-candidate-classification-024-law001,Classification rule prevents law-like statements from being promoted without theorem/axiom/evidence status.,"Depends on claim admissibility theorem, closed.",Only theorem consequences and bounded axiom schemas are core claims.,2026-05-22T09:16:25Z
11,OC-THEORY-CROWN-001,EXCLUDED_FROM_CORE_AS_CONJECTURE,OC_THEORY_CORE_NOTEBOOK_024.md#crown-stone-boundary-024-crown001,No crown-stone statement is currently bound to a closed theorem chain.,Depends on theorem chain audit; excluded from core instead of promoted.,Crown stones may appear only as conjectural extension/application motivation.,2026-05-22T09:16:25Z
12,OC-THEORY-DOMAIN-001,EXCLUDED_FROM_CORE_AS_CONJECTURE,OC_THEORY_CORE_NOTEBOOK_024.md#domain-projection-boundary-024-domain001,Domain projections lack universal local evidence/falsifier packages in the core proof ledger.,Depends on claim admissibility theorem; excluded unless locally evidenced.,"Domain cases may illustrate the theorem, not validate OC globally.",2026-05-22T09:16:25Z
13,OC-THEORY-ARTICLE-001,PROVED_THEOREM,OC_THEORY_CORE_NOTEBOOK_024.md#article-gate-024-article001,All promoted article claims are terminal and bounded; conjectural crown/domain/global claims are excluded.,All article-eligible dependencies closed or excluded from core.,Article thesis restricted to bounded axiomatic theory of description change.,2026-05-22T09:16:25Z
