parent_claim_id,child_claim_id,relation,status
OC-THEORY-CP-001,OC-THEORY-DEF-001,requires,CLOSED
OC-THEORY-OP-001,OC-THEORY-DEF-001,requires,CLOSED
OC-THEORY-OP-002,OC-THEORY-OP-001,requires,CLOSED
OC-THEORY-OP-003,OC-THEORY-OP-001,requires,CLOSED
OC-THEORY-K-001,OC-THEORY-DEF-001,requires,CLOSED
OC-THEORY-K-002,OC-THEORY-K-001,requires,CLOSED
OC-THEORY-K-003,OC-THEORY-K-002,requires,CLOSED
OC-THEORY-THM-001,OC-THEORY-CP-001,requires,CLOSED
OC-THEORY-THM-001,OC-THEORY-OP-003,requires,CLOSED
OC-THEORY-LAW-001,OC-THEORY-THM-001,requires,CLOSED
OC-THEORY-CROWN-001,OC-THEORY-THM-001,requires,CLOSED
OC-THEORY-DOMAIN-001,OC-THEORY-THM-001,requires,CLOSED
OC-THEORY-ARTICLE-001,OC-THEORY-CP-001,requires,CLOSED
OC-THEORY-ARTICLE-001,OC-THEORY-THM-001,requires,CLOSED
