row_id,ordinal,contour,source_statement,status,formal_proposition,assumptions,proof_or_counterproof,falsifier_check,dependency_closure,verification_note,artifact_ref,article_eligible,local_evidence_package,updated_at
OC30-CENTER-001,1,center,Unresolvable contradiction either births a new axis or leads to collapse.,PROVED_WITH_FORMAL_PROOF,"For every StressContext, classify returns absorption, extension, collapse, or underdetermined; same-description repair proves absorption and repairs the old fork.","StressContext declares evidenceBound, sameDescriptionRepair, extensionRepair, and invariantFailure.",Lean center_four_outcome_total proves totality; center_absorption_repairs_old_fork proves the old two-outcome fork was incomplete.,A same-description repair falsifies the old fork but not the four-outcome theorem.,Depends on 029 central theorem and 027/028 repair guard.,lake build checks OCConcentric.Basic.,formal/OCConcentric/Basic.lean,1,1,2026-05-22T10:42:39.652792+00:00
OC30-ADEQUACY-001,2,adequacy,OC adequacy roles are not eliminable.,PROVED_WITH_FORMAL_PROOF,"For every missing AdequacyRole, missingRoleLanguage missing is not Adequate.","AdequacyRole enumerates observation coverage, distinguishability, dynamics, pressure, repair, extension, collapse, underdetermination, projection non-inflation, evidence binding, and refinement.",Lean adequacy_no_role_eliminable and Python role-removal witnesses prove the lower bound.,A falsifier would remove a role while preserving Adequate; Lean reduces this to r != r.,Depends on 029 adequacy role theorem.,Python enumerates role removals.,formal/OCConcentric/Basic.lean; formal/python/concentric_witnesses.py,1,1,2026-05-22T10:42:39.652792+00:00
OC30-OPERATORS-001,3,operators,Six continuum operators are independent and minimal under typed semantic effect signatures.,PROVED_WITH_FORMAL_PROOF,"OperatorAdequate requires introduce, differentiate, stabilize, project, invalidate, and repair; removing any operator role breaks adequacy and operatorCode is injective.","Operator roles are typed semantic effects, not arbitrary names.",Lean operatorCode_injective and operators_no_role_eliminable prove role separation and lower bound.,A generic rewrite operator does not falsify typed-role minimality because it is not role-preserving over the six effects.,Depends on 029 operator theorem.,Python enumerates operator removals.,formal/OCConcentric/Basic.lean; formal/python/concentric_witnesses.py,1,1,2026-05-22T10:42:39.652792+00:00
OC30-K-001,4,k_ladder,K-levels are a parametric rank/closure ladder with adjacent non-collapse.,PROVED_WITH_FORMAL_PROOF,"kRank n < kRank (n+1), and kLadder maxDepth is List.range (maxDepth+1).",K-level proof is relative to rank/closure parameter maxDepth.,Lean k_adjacent_noncollapse and k_reference_depth_12_count prove ladder and reference count.,Adjacent collapse is blocked by Nat.lt_succ_self.,Depends on 029 parametric K theorem and source K nodes.,Python checks increasing depth-12 ladder.,formal/OCConcentric/Basic.lean; formal/python/concentric_witnesses.py,1,1,2026-05-22T10:42:39.652792+00:00
OC30-K-OLD-COUNT-001,5,k_ladder,K0-K12 is the absolute unique cosmic count.,REFUTED_AND_REPAIRED_WITH_PROOF,There exists an alternative kLadder depth with length not equal to 13; therefore absolute count is not derivable without depth parameter.,K0-K12 remains a reference instantiation at depth 12.,Lean k_absolute_count_guard and Python len(k_ladder(13)) != 13 prove the guard.,A stronger proof would need a canonical depth theorem absent from current core.,Depends on OC30-K-001 and 029 K repair.,Python absolute_k_count_guard passes.,formal/OCConcentric/Basic.lean; formal/python/concentric_witnesses.py,1,1,2026-05-22T10:42:39.652792+00:00
OC30-SCHEMA-001,6,theorem_schemas,"Internal OC theorem schemas require closed dependencies, proof artifact, and falsifier.",PROVED_WITH_FORMAL_PROOF,SchemaAdmissible S entails S.dependenciesClosed.,"A theorem schema is admissible only with dependenciesClosed, proofArtifact, and falsifier.",Lean theorem_schema_requires_closed_dependencies proves the gate.,A schema with open dependencies is not admissible.,Depends on proof discipline from 029.,Validator requires proof fields on every row.,formal/OCConcentric/Basic.lean; formal/python/validate_030.py,1,1,2026-05-22T10:42:39.652792+00:00
OC30-LAWS-001,7,laws,"Law-like OC statements require trigger, scope, outcome criterion, and falsifier.",PROVED_WITH_FORMAL_PROOF,LawAdmissible L entails L.falsifier.,"A law candidate must name trigger, scope, outcomeCriterion, and falsifier.",Lean law_requires_falsifier proves non-rhetorical law admission.,A law without falsifier fails LawAdmissible.,Depends on 029 law admissibility theorem.,Article boundary forbids laws without falsifiers.,formal/OCConcentric/Basic.lean; OC_CONCENTRIC_ARTICLE_BOUNDARY_030.md,1,1,2026-05-22T10:42:39.652792+00:00
OC30-CROWN-001,8,crown,Crown stones are proved by the core alone.,REJECTED_FROM_CORE_WITH_COUNTERPROOF,coreOnlyDomainProjection has coreSignature but no local evidence; CrownPromoted coreOnlyDomainProjection is false.,A crown stone needs a theorem chain or local evidence package beyond core signature.,Lean crown_not_core_without_local_evidence proves rejection from core alone.,A falsifier would promote coreOnlyDomainProjection despite missing local evidence.,Depends on domain non-inflation theorem.,Article boundary forbids crown promotion from core alone.,formal/OCConcentric/Basic.lean; OC_CONCENTRIC_ARTICLE_BOUNDARY_030.md,0,0,2026-05-22T10:42:39.652792+00:00
OC30-DOMAIN-DISCIPLINE-001,9,domains,Domain projection discipline requires local evidence.,PROVED_WITH_FORMAL_PROOF,DomainProjectionValidated D entails LocalEvidenceComplete D.localEvidence.,"LocalEvidenceComplete requires observables, constraints, operators, invariants, falsifiers, and evidenceBindings.",Lean domain_projection_requires_local_evidence and core_signature_alone_not_domain_proof prove non-inflation.,Core signature alone does not validate a domain projection.,Depends on 029 domain projection theorem.,lake build checks domain projection lemmas.,formal/OCConcentric/Basic.lean,1,1,2026-05-22T10:42:39.652792+00:00
OC30-DOMAIN-BIOLOGY,10,domains,Biology source-domain replay validates the domain projection as a real-domain theorem.,DOMAIN_INSTANTIATION_REQUIRED_BY_THEOREM,"Biology requires a 030 local evidence package with observables, constraints, operators, invariants, falsifiers, and evidence bindings before it may be marked DOMAIN_PROJECTION_PROVED_WITH_LOCAL_EVIDENCE.","The 022 source graph has replay/source labels, but 030 does not treat replay labels as complete empirical local evidence.",Lean domain_projection_requires_local_evidence proves the local-evidence gate; Python records the source-domain queue.,"A falsifier would provide complete local evidence and then this row would be reopened as a proved domain projection, not promoted from vocabulary alone.",Depends on OC30-DOMAIN-DISCIPLINE-001 and source graph domain nodes.,Python witness lists the five source domains and validator blocks proved-domain status without local_evidence_package=1.,formal/OCConcentric/Basic.lean; formal/python/concentric_witnesses.py; ../../022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json,0,0,2026-05-22T10:42:39.652792+00:00
