unit_id,source_ref,source_content_sha256,target_hint,mapping_status
reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_101__h50bc388114be.json,bfc933c56b4ee0d8cec9727df72dd7b4e3ea4b9d8ec697e9df4905aa11d59800,CHEMISTRY,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_102__h1de2c883e2aa.json,a617c67d4823b8e9f65e50b75a433d0dc8d54e3392ec5a98a1b4bcc8ebbb1416,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_103__h7c8da88e8d20,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_103__h7c8da88e8d20.json,96f68d93e2980acf676af316212165c3f646fa2ff9787b5929839d32e9950b99,PHYSICS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_104__hd6aa785b8edb,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_104__hd6aa785b8edb.json,20d48c55a4b6d4e3416d9a1191d28bfa6050518ffa2131ab3aceaa8adbec44b4,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_105__h089e5b425c5b,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_105__h089e5b425c5b.json,5dabb795103a06371112d555075c6416ce8de928ddea4010b809b0ea633b70b2,SYSTEMS_CIVILIZATIONAL_PROJECTION,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_106__h5560dd98bea1,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_106__h5560dd98bea1.json,8b997474ea24f5177250c252d948e66fdec6312eef79e4f0c25e1688de023905,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_107__h47dce4b60763,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_107__h47dce4b60763.json,e7552799c594422d0dbbb916e412165451f77027d6b1fd37182a44d8b54f6fc5,AI_SYSTEMS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_108__h2dcd9eaab628,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_108__h2dcd9eaab628.json,da30fed10106956d9f4c15ad187daf1d2479893047f36a39b1f634ab2c3e84f4,PHYSICS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_109__ha6d8519ccbc7,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_109__ha6d8519ccbc7.json,edfacd21be67068b8004db22c3274de1d0bbc04362c96c98d52077d3dfd58a7f,SYSTEMS_CIVILIZATIONAL_PROJECTION,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_110__h5c1a2e1a5766,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_110__h5c1a2e1a5766.json,3d8db224edb2119cd5cdc32f2fc3b9961dd9f88c85f93dcf145ca2082c39ad1d,PHYSICS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_111__h8347273118ba,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_111__h8347273118ba.json,15d3a35256e4317eca1979a3239540a377de60a5472fb52ad470d5c9cf99bc72,SYSTEMS_CIVILIZATIONAL_PROJECTION,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_112__h862ff7ed6e65,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_112__h862ff7ed6e65.json,34e09a3cb4bf5d4a3edb95a1e63a694af3da69f0e5bd15fbbae7b04f2c22669b,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_113__h0347bea9334b,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_113__h0347bea9334b.json,1995d450fdad80227a5a8c18702d214d4cfae32a650f19792a23476af36f462a,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_114__h5f8510c3262a,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_114__h5f8510c3262a.json,82135a62382a693fc6765942db170f9e08d85dd4ae73f9dda8eeed971d7893c1,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_115__ha08adf2cb113,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_115__ha08adf2cb113.json,e0cbbc98c5e6842e1710d69e599784d211e0d84520697b57a05447c913f8f1c8,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_116__h0c83741ba51b,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_116__h0c83741ba51b.json,fba0a84464c43779c747fdf672a65f3eb47e7141acead1ba16bb597183c8e120,BIOLOGY,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_117__ha1242ca1c801,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_117__ha1242ca1c801.json,b75341bcb0abd3932984a17baf00a0f4c55ef9056c138150fff3f6f2e9df1606,BIOLOGY,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_118__h3d2bf697c293,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_118__h3d2bf697c293.json,159212300d962252229d01cd6da0130065363d92f158a10b3cf8dbd03b3be2dc,AI_SYSTEMS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_119__h7338686cdf3b,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_119__h7338686cdf3b.json,33d9b62bfe61601d92c7f5f8d9816e023f965410197766107c54075d92aa8198,PHYSICS,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_120__h72936e341514,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_120__h72936e341514.json,8dfb35847992d63d980cf2620603f6335ee45d64403e22dad4e878e93546bcf0,GENERAL_EMPIRICAL_ATTACK,OPEN_MAPPING_REQUIRED
reviewer_attack_response_map__empirical_attacks__atom_121__had5a09d5fa02,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/006/language_sources/units/reviewer_attack_response_map__empirical_attacks__atom_121__had5a09d5fa02.json,82789981dec35a35c72d4bedc41c6be9ff53051d90014bb4e54d7df0585bf30c,PHYSICS,OPEN_MAPPING_REQUIRED
