row_id,ordinal,obligation_kind,source_obligation_id,target_id,status,acquisition_status,dataset_refs,required_packet,promotion_rule,artifact_refs,updated_at
OC39-FOLLOWUP-OC36-K1-SC05-FORMOSE-RAF-LOCAL-DATA-GAP,1,carried_followup,OC36-K1-SC05-FORMOSE-RAF-LOCAL-DATA-GAP,K1 Chemistry,ACTIVE_DATA_ACQUISITION_REQUIRED,ACTIVE_DATA_ACQUISITION_REQUIRED,K1_FORMOSE_RAF_PUBLIC_DATASET,"Build K1 formose/RAF packet: reaction graph, rates/yields, condition grid, product distribution, held-out conditions, replay script, thresholds.","Empirical promotion requires replay script, acceptance thresholds, falsifier, dependency closure, and verification.",DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,2,carried_followup,OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,K2 Biology,ACTIVE_DATA_ACQUISITION_REQUIRED,SEED_ACQUIRED_REPLAY_REQUIRED,K2_GSE241132_WOUND_MATRIX; K2_GSE28914_WOUND_MATRIX; K2_GSE50425_WOUND_MATRIX,"Build K2 comparative packet: wound, biofilm, and homeostasis cases with observables, perturbation outcomes, replay cases, and failure contrasts.","Empirical promotion requires replay script, acceptance thresholds, falsifier, dependency closure, and verification.",DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-FOLLOWUP-OC38-K3-SC05-AMBIGUOUS-SENTENCE-LOCAL-DATA-GAP,3,carried_followup,OC38-K3-SC05-AMBIGUOUS-SENTENCE-LOCAL-DATA-GAP,K3 Cognition,ACTIVE_DATA_ACQUISITION_REQUIRED,SEED_ACQUIRED_REPLAY_REQUIRED,K3_NATURAL_STORIES_READING_TIMES,"Build K3 ambiguous-sentence packet: stimuli, noise/context manipulation, reaction time, responses/errors, revision-vs-collapse labels, replay script, thresholds.","Empirical promotion requires replay script, acceptance thresholds, falsifier, dependency closure, and verification.",DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-FOLLOWUP-OC38-K3-SC06-ROADSIDE-PERCEPTION-LOCAL-DATA-GAP,4,carried_followup,OC38-K3-SC06-ROADSIDE-PERCEPTION-LOCAL-DATA-GAP,K3 Cognition,ACTIVE_DATA_ACQUISITION_REQUIRED,SEED_ACQUIRED_REPLAY_REQUIRED,K3_NATURAL_STORIES_READING_TIMES,"Build K3 roadside perception packet: ambiguous visual stimuli, cue changes, action-readiness response, timing/errors, replay script, thresholds.","Empirical promotion requires replay script, acceptance thresholds, falsifier, dependency closure, and verification.",DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-005-K4-AGENCY,5,domain_chapter_empirical_upgrade,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-005-K4-AGENCY,K4 Agency Projection,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,"Run a K4 agency packet: decision tasks with observable constraints, interventions on options/resources, preregistered outcome criteria, and replay.",Local empirical packet required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K4_Agency_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-006-K5-SOCIAL,6,domain_chapter_empirical_upgrade,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-006-K5-SOCIAL,K5 Social Projection,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,"Run a K5 social packet: social-network or coordination dataset, boundary/operator labels, perturbation history, falsifiers, and replication script.",Local empirical packet required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K5_Social_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,7,domain_chapter_empirical_upgrade,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,K6 Institutional Projection,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,"Run a K6 institutions packet: source-bound policy/process dataset, procedure traces, compliance/failure metrics, and independent audit replay.",Local empirical packet required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K6_Institutional_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,8,domain_chapter_empirical_upgrade,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,K7 Civilizational Projection,ACTIVE_DATA_ACQUISITION_REQUIRED,NO_SEED_BOUND_YET,,"Run a K7 civilization packet: explicit historical cases, indicators, countercases, replayable coding rubric, and independent replication.",Local empirical packet required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K7_Civilizational_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K10-META-THEORY,9,domain_chapter_empirical_upgrade,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K10-META-THEORY,K10 Meta-Theory Projection,ACTIVE_DATA_ACQUISITION_REQUIRED,ACTIVE_DATA_ACQUISITION_REQUIRED,K1_FORMOSE_RAF_PUBLIC_DATASET,"Run a K10 meta-theory packet: formal theorem ledger, independent proof replay, countermodel set, and article boundary audit.",Formal replay and graph-wide dependency closure required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K10_Meta-Theory_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,10,domain_chapter_empirical_upgrade,OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,K11 Reflexive Systems Projection,ACTIVE_DATA_ACQUISITION_REQUIRED,ACTIVE_DATA_ACQUISITION_REQUIRED,K1_FORMOSE_RAF_PUBLIC_DATASET,"Run a K11 reflexive systems packet: self-monitoring system logs, intervention protocol, pre/post behavior metrics, and replay.",Local empirical packet required before promotion.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_K11_Reflexive_Systems_Projection.md; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/CHAPTER_SOURCE_INDEX.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/017/narrative_projection/MANUSCRIPT_FINAL_READER_TEXT_017.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/034/sequential_evidence_packet_closure/oc_sequential_evidence_packet_closure_034.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/033/full_empirical_theory_expansion/oc_full_empirical_theory_expansion_033.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/032/empirical_crown_domain_closure/oc_empirical_crown_domain_closure_032.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/031/evidence_operationalization/oc_evidence_operationalization_031.sqlite; logion/k0/governance/status/DOMAIN_REPLAY_REPORTS_latest.json; logion/k0/governance/status/EMPIRICAL_DOMAIN_VALIDATION_MATRIX_latest.json; logion/k0/governance/status/OC_DOMAIN_PROJECTION_COMPLETION_latest.json; formal/OCContinuous/Basic.lean; DATASET_MANIFEST_039.json,2026-05-22T13:32:17.011721+00:00
