evidence_id,claim_id,ref,role
OC25-LOCAL-ARCHIVE-001-E001,OC25-LOCAL-ARCHIVE-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_Candidate_Laws_and_Scope_Conditions.md,source_anchor
OC25-CP-UNIVERSAL-001-E001,OC25-CP-UNIVERSAL-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_Candidate_Laws_and_Scope_Conditions.md,source_anchor
OC25-CP-UNIVERSAL-001-E002,OC25-CP-UNIVERSAL-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_Why_OC_Appears_at_This_Point_in_the_Lineage.md,source_anchor
OC25-CP-SCHEMA-001-E001,OC25-CP-SCHEMA-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_Candidate_Laws_and_Scope_Conditions.md,source_anchor
OC25-CP-SCHEMA-001-E002,OC25-CP-SCHEMA-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_Why_OC_Appears_at_This_Point_in_the_Lineage.md,source_anchor
OC25-CP-SCHEMA-001-E003,OC25-CP-SCHEMA-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_CORE_NOTEBOOK_024.md,source_anchor
OC25-PRIMITIVES-001-E001,OC25-PRIMITIVES-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_Why_OC_Appears_at_This_Point_in_the_Lineage.md,source_anchor
OC25-PRIMITIVES-001-E002,OC25-PRIMITIVES-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_CORE_NOTEBOOK_024.md,source_anchor
OC25-OPERATORS-001-E001,OC25-OPERATORS-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_CORE_NOTEBOOK_024.md,source_anchor
OC25-KLEVEL-001-E001,OC25-KLEVEL-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_CORE_NOTEBOOK_024.md,source_anchor
OC25-LAWS-001-E001,OC25-LAWS-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_Candidate_Laws_and_Scope_Conditions.md,source_anchor
OC25-LAWS-001-E002,OC25-LAWS-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_CORE_NOTEBOOK_024.md,source_anchor
OC25-CROWN-001-E001,OC25-CROWN-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_CORE_NOTEBOOK_024.md,source_anchor
OC25-DOMAIN-001-E001,OC25-DOMAIN-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_Candidate_Laws_and_Scope_Conditions.md,source_anchor
OC25-DOMAIN-001-E002,OC25-DOMAIN-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/chapter_sources/master_monograph/chapter_Why_OC_Appears_at_This_Point_in_the_Lineage.md,source_anchor
OC25-DOMAIN-001-E003,OC25-DOMAIN-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/OC_THEORY_CORE_NOTEBOOK_024.md,source_anchor
OC25-CP-SCHEMA-001-E004,OC25-CP-SCHEMA-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/bounded_central_schema_model.py,executable_proof_surface
OC25-PRIMITIVES-001-E004,OC25-PRIMITIVES-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/primitive_dependency_audit.py,executable_dependency_audit
OC25-OPERATORS-001-E004,OC25-OPERATORS-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/operator_minimality_countermodel.py,executable_countermodel
OC25-KLEVEL-001-E004,OC25-KLEVEL-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/k_level_count_countermodel.py,executable_countermodel
OC25-LAWS-001-E004,OC25-LAWS-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/law_promotion_countermodel.py,executable_countermodel
OC25-CROWN-001-E004,OC25-CROWN-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/crown_dependency_counterproof.py,executable_dependency_counterproof
OC25-DOMAIN-001-E004,OC25-DOMAIN-001,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/025/real_theory_science/formal/domain_projection_countermodel.py,executable_countermodel
