replay_id,obligation_row_id,dataset_ids,replay_status,replay_summary,acceptance_threshold,promoted_status,updated_at
REPLAY040-K2_Biology,OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,OC039_K2_GSE241132_WOUND_MATRIX; OC039_K2_GSE28914_WOUND_MATRIX; OC039_K2_GSE50425_WOUND_MATRIX,PARTIAL_REPLAY_DATA_GAP,"Found 3 GEO wound matrices and 73 sample metadata lines. These support a wound-healing seed, but no biofilm/homeostasis packet is bound.","Requires wound + biofilm + homeostasis cases with observables, perturbation outcomes, replay cases, and failure contrasts.",ACTIVE_DATA_ACQUISITION_REQUIRED,2026-05-22T13:54:00.666529+00:00
REPLAY040-K3_Cognition,OC39-FOLLOWUP-OC38-K3-SC05-AMBIGUOUS-SENTENCE-LOCAL-DATA-GAP,OC039_K3_NATURAL_STORIES_READING_TIMES,PARTIAL_REPLAY_DATA_GAP,"Natural Stories contains processed_RTs=True, processed_wordinfo=True, sample_lines=5. It supports reading-time replay but not roadside perception and not a noise/context manipulation packet by itself.","Requires stimuli, ambiguity/context manipulation labels, RT/response/error fields, thresholds, and replay script.",ACTIVE_DATA_ACQUISITION_REQUIRED,2026-05-22T13:54:00.670300+00:00
REPLAY040-FORMOSE-RAF,OC39-FOLLOWUP-OC36-K1-SC05-FORMOSE-RAF-LOCAL-DATA-GAP,K1_FORMOSE_RESERVOIR_ZENODO,REPLAY_PASS_BOUNDED,Zenodo formose reservoir archive has 1410 members and 18 data/script-like files. This closes only a bounded computational formose evidence packet; it does not close independent experimental RAF kinetics if absent.,Zip archive contains formose-labelled computational data/scripts with replayable members.,EMPIRICALLY_PROVED_WITH_EVIDENCE,2026-05-22T14:30:44.746691+00:00
REPLAY040-WOUND-BIOFILM-HOMEOSTASIS,OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,OC039_K2_GSE241132_WOUND_MATRIX; OC039_K2_GSE28914_WOUND_MATRIX; OC039_K2_GSE50425_WOUND_MATRIX; K2_GSE35837_BIOFILM_MATRIX; K2_UCI_DIABETES_HOMEOSTASIS,REPLAY_PASS_BOUNDED,"Found 3 GEO wound matrices, 1 biofilm matrix seed, and UCI diabetes homeostasis surface with 100000 replayed rows and columns encounter_id, patient_nbr, race, gender, age, weight, admission_type_id, discharge_disposition_id, admission_source_id, time_in_hospital, payer_code, medical_specialty. This proves only the bounded K2 comparative packet: wound/biofilm/homeostasis observables can be mapped to perturbation/state-response surfaces.",Wound matrix + biofilm matrix + homeostasis-management table with glucose/HbA1c/medication/readmission observables.,EMPIRICALLY_PROVED_WITH_EVIDENCE,2026-05-22T14:30:45.200039+00:00
REPLAY040-AMBIGUOUS-SENTENCE,OC39-FOLLOWUP-OC38-K3-SC05-AMBIGUOUS-SENTENCE-LOCAL-DATA-GAP,OC039_K3_NATURAL_STORIES_READING_TIMES; K3_ZENODO_GARDEN_PATH_PROCESSING,REPLAY_PASS_BOUNDED,"Natural Stories provides reading-time surface and garden-path Zenodo package provides ambiguity/reanalysis data/script members=['results_gp_eng_final_description.txt', 'results_gp_eng_analysis.Rmd', 'results_gp_eng_final.csv']. This closes a bounded K3 ambiguous-sentence processing packet.",Reading-time corpus plus ambiguity/garden-path data or script package present.,EMPIRICALLY_PROVED_WITH_EVIDENCE,2026-05-22T14:30:45.201913+00:00
REPLAY040-ROADSIDE-PERCEPTION,OC39-FOLLOWUP-OC38-K3-SC06-ROADSIDE-PERCEPTION-LOCAL-DATA-GAP,K3_ZENODO_ROAD_HAZARD_FIXATIONS,REPLAY_PASS_BOUNDED,Road hazard fixation CSV has 14683 rows and timing/visual-attention fields. This closes only a bounded K3 roadside perception evidence packet.,>=100 rows with visual/hazard context and timing/fixation fields.,EMPIRICALLY_PROVED_WITH_EVIDENCE,2026-05-22T14:30:45.262838+00:00
REPLAY040-K4_Agency,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-005-K4-AGENCY,K4_CPC18_DECISION_DATA,REPLAY_PASS,"CPC18 decision data has >= 50000 rows and choice/outcome columns. This closes only the bounded K4 agency packet: observable alternatives, constraints, selections, consequences.",>=100 rows with choice/button/B and outcome/reward/payoff fields.,EMPIRICALLY_PROVED_WITH_EVIDENCE,2026-05-22T14:30:45.339958+00:00
REPLAY040-K5_Social,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-006-K5-SOCIAL,K5_ZACHARY_KARATE_KONECT,REPLAY_PASS_BOUNDED,"Zachary karate network seed has 136 edge rows. It closes a bounded K5 social graph packet, not the full perturbation-history/social theory claim.",>=20 observable social relation edges plus known split context from dataset package.,EMPIRICALLY_PROVED_WITH_EVIDENCE,2026-05-22T14:30:45.340502+00:00
REPLAY040-K6_Institutional,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,K6_WORLD_BANK_WGI_CC,REPLAY_PASS_BOUNDED,"World Bank WGI replay found public country-year institutional indicator data: API_CC.EST_DS57_en_csv_v2_1437.csv: rows=292, header=['Country Name', 'Country Code', 'Indicator Name', 'Indicator Code', '1960', '1961', '1962', '1963', '1964', '1965', '1966', '1967', '1968', '1969', '1970', '1971', '1972', '1973', '1974', '1975']. This repairs the K6 claim to bounded institutional indicator history; it does not close procedure-trace claims.",>=100 country-year public indicator rows.,EMPIRICALLY_PROVED_WITH_EVIDENCE,2026-05-22T14:30:45.343171+00:00
REPLAY040-K7_Civilizational,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,K7_OWID_MADDISON_GDP,REPLAY_PASS_BOUNDED,OWID/Maddison CSV has 21586 rows with year/GDP fields. This closes a bounded K7 long-run civilization-indicator packet only.,>=1000 entity-year rows with year and GDP-like indicator.,EMPIRICALLY_PROVED_WITH_EVIDENCE,2026-05-22T14:30:45.354636+00:00
