source_ref,source_kind,role,exists_flag
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/040/continuous_replay_and_full_closure/oc_continuous_replay_full_closure_040.sqlite,prior_db,domain/evidence replay closure,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/041/crown_theorem_chain_repair/oc_crown_theorem_chain_repair_041.sqlite,prior_db,crown theorem-chain repair,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite,prior_db,absolute proof closure,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/oc_goal_readiness_contract_043.sqlite,prior_db,goal readiness baseline,1
logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,master_book,"business, governance, no-send boundary",1
logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json,question_registry,EA question ladder,1
logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json,question_registry,EA question support chain,1
logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,toolkit_registry,EAQ toolkit features,1
logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json,data_contract,EA required data package,1
logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json,data_contract,EA case corpus,1
logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,product_artifact,EA client deliverable,1
logion/k1/contracts/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,contract,Estra Toolkit integration,1
logion/k1/contracts/LOGION_EDITORIAL_PUBLICATION_GRAPH_CONTRACT_v1.md,contract,editorial publication graph,1
logion/k1/contracts/JOURNAL_GRADE_STYLE_CONTRACT_v0_1.md,contract,journal-grade style,1
logion/k1/contracts/LOGION_ASSERTION_CONFIDENCE_CONTRACT_v0_1.md,contract,assertion confidence,1
logion/k7/spe/state/product/OFFER_PACKAGE_CATALOG_latest.json,business_registry,offer package catalog,1
logion/k7/spe/state/gates/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,gate,client delivery authority,1
logion/k7/spe/state/gates/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,gate,toolkit UI verification,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/latex/OC_CORE_1_4_REVIEWER_ATTACK_RESPONSE_MAP.tex,publication_artifact,reviewer attack map,1
logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/022/public_payload/latex/OC_CORE_1_4_MASTER_MONOGRAPH.tex,publication_artifact,master monograph source,1
