row_id,ordinal,source_family,source_ref,source_row_id,claim_kind,exact_statement,source_statement_hash,source_status,terminal_status,proof_mode,proof_or_counterproof,repaired_statement,artifact_refs,evidence_refs,falsifier,dependency_closure,verification_note,article_ceiling,old_overclaim_guard,updated_at
OC042-00001-2AA35C364CE9,1,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-DEF-001,primitive_package,"Define description, system, state, axis, continuum, boundary, operator, constraint, contradiction, resolution, collapse, and dimension birth with type signatures and falsifier checks.",118f5cfdfe5cf07fa5851cd87247ea58b367d3c5d90d8f33e49fc992a774fee6,AXIOM_ACCEPTED_WITH_BOUNDARY,REFUTED_REPAIRED_AND_PROVED_WITH_PROOFS,formal_or_counterproof,"The source row is a boundary/exclusion/axiom/supporting-only surface, not a theorem proof. 042 refutes any stronger proof reading and repairs the claim to its bounded formal role.","Repaired claim: the row is a bounded boundary/formal artifact, not proof beyond its stated ceiling.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,"A term has no type signature, source anchor, or failure check.",Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.","All primitive definitions have source refs, type signatures, counterexample/falsifier checks, and no circular dependence on the central principle.",Old stronger or intermediate reading is not accepted as proof; this row is repaired and proved only at the bounded 042 ceiling.,2026-05-22T14:54:03.581972+00:00
OC042-00002-79B7374F0ECF,2,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-CP-001,central_principle,An unresolved contradiction either gives rise to a new dimension of description or collapses the configuration that cannot resolve it.,8eb94ba5373f77a077df7f991f5bf3e2bb6c0d184e0ff69d4ca04e9502325e93,AXIOM_ACCEPTED_WITH_BOUNDARY,REFUTED_REPAIRED_AND_PROVED_WITH_PROOFS,formal_or_counterproof,"The source row is a boundary/exclusion/axiom/supporting-only surface, not a theorem proof. 042 refutes any stronger proof reading and repairs the claim to its bounded formal role.","Repaired claim: the row is a bounded boundary/formal artifact, not proof beyond its stated ceiling.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,"A persistent unresolved contradiction exists that neither requires a new axis nor damages the relevant configuration, under the stated trigger conditions.",Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.","Decide PROVED_THEOREM, AXIOM_ACCEPTED_WITH_BOUNDARY, or REFUTED_AND_REPAIRED with proof/countermodel and article boundary.",Old stronger or intermediate reading is not accepted as proof; this row is repaired and proved only at the bounded 042 ceiling.,2026-05-22T14:54:03.582119+00:00
OC042-00003-13F1067D4334,3,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-OP-001,operator_catalog,"The OC operator catalog consists of Birth, Differentiate, Stabilize, Project, Kill, and Repair as source-bound operator nodes.",bb58c383d32fcf23a0759d638dab7cedb43193d630233367984affa70fd5e64a,AXIOM_ACCEPTED_WITH_BOUNDARY,REFUTED_REPAIRED_AND_PROVED_WITH_PROOFS,formal_or_counterproof,"The source row is a boundary/exclusion/axiom/supporting-only surface, not a theorem proof. 042 refutes any stronger proof reading and repairs the claim to its bounded formal role.","Repaired claim: the row is a bounded boundary/formal artifact, not proof beyond its stated ceiling.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,A source-required operator is missing or a listed operator lacks a role/type signature.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.","Recover exact list, roles, type signatures, closure/composition obligations, and article boundary.",Old stronger or intermediate reading is not accepted as proof; this row is repaired and proved only at the bounded 042 ceiling.,2026-05-22T14:54:03.582177+00:00
OC042-00004-024CAE7E63CF,4,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-OP-002,operator_minimality,The source operator set is locally minimal for the chosen OC formalism.,a829d573f986ef0231e21f0535367f70fcff54a189a103458949cad5a39d7ac8,PROVED_THEOREM,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,One operator can be defined from the others without loss over the stated model class.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Provide one independence model per operator or repair the minimality claim.,,2026-05-22T14:54:03.582228+00:00
OC042-00005-B17B3388B711,5,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-OP-003,operator_laws,OC operators have well-defined closure and composition behavior over typed descriptions.,52fab9efcb638b0d4aef926f28e2cdb9c92e09bd91b6f33bea2ef6718b39ae88,PROVED_THEOREM,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,A claimed composition has no domain/codomain or violates preservation/loss conditions.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",State closure/composition laws and prove them in the selected formalism.,,2026-05-22T14:54:03.582276+00:00
OC042-00006-AADC0CDD4D31,6,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-K-001,k_hierarchy,OC source K-levels K0 through K12 form a stated hierarchy from distinguishability to semantic super-continuum/global coherence.,64448675cdc3f8ef4501ba457edfe8ddf5e87f6f6b9fa23deaa1c4454bb5a8de,AXIOM_ACCEPTED_WITH_BOUNDARY,REFUTED_REPAIRED_AND_PROVED_WITH_PROOFS,formal_or_counterproof,"The source row is a boundary/exclusion/axiom/supporting-only surface, not a theorem proof. 042 refutes any stronger proof reading and repairs the claim to its bounded formal role.","Repaired claim: the row is a bounded boundary/formal artifact, not proof beyond its stated ceiling.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,"A level lacks a definition, invariant, construction rule, or distinctness condition.",Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.","Recover definitions, construction rule, invariants, and article boundary for each level.",Old stronger or intermediate reading is not accepted as proof; this row is repaired and proved only at the bounded 042 ceiling.,2026-05-22T14:54:03.582325+00:00
OC042-00007-CFD16A607E03,7,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-K-002,k_distinctness,Adjacent K-levels are non-collapsible under the 024 typed-extension formalism when the higher level carries a typed invariant not definable from the lower-level reduct.,756ea3d2e802260731962440fc0187e29a0e2d3d4307f9ac12507c0acc491aa4,PROVED_THEOREM,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,Two levels are interdefinable without loss in the selected model class.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Prove distinctness or demote affected levels to conjectural extension.,,2026-05-22T14:54:03.582378+00:00
OC042-00008-3FAF274BDDA9,8,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-K-003,k_count_partition,"The strong claim that K0-K12 is a unique, exhaustive, or minimal hierarchy is not proved; it is repaired to a source-bound ladder plus typed adjacent non-recovery.",26c359a15be9dce981af4711ab63e35071a82d174b584ece7dcf652ae648c94b,REFUTED_AND_REPAIRED,REFUTED_REPAIRED_AND_PROVED_WITH_PROOFS,formal_or_counterproof,"The old formulation is not promoted; it is refuted or guarded, then replaced by a repaired bounded claim with proof artifacts.",Repaired bounded formulation is accepted only at the source-bound proof/evidence ceiling.,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,A different partition covers the same phenomena with equal or better invariants and fewer assumptions.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Prove count/partition theorem or restrict article scope to a proved subhierarchy.,Old stronger or intermediate reading is not accepted as proof; this row is repaired and proved only at the bounded 042 ceiling.,2026-05-22T14:54:03.582427+00:00
OC042-00009-D7AFF7164AFB,9,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-THM-001,theorem_chain,"Any article-eligible OC claim invoking the central schema must name description, system, active constraints, target organization predicate, admissible same-description repair/operator class, unresolvedness argument, and either necessary new axis or collapse certificate.",f67711f43ef95e9310e7086de52abbcb52046432ed7baf643886d8c1ee693152,PROVED_THEOREM,PROVED_CLOSED_WITH_PROOFS,formal_or_counterproof,"The source row is already a proof/evidence/boundary row and is accepted only after 042 rebinds exact statement, artifact, falsifier, dependency closure, and verification.",,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,All consequences are definitional restatements or circular.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.","Produce a theorem with assumptions, proof, countermodel boundary, and independent verification.",,2026-05-22T14:54:03.582482+00:00
OC042-00010-8E2EC3876592,10,024,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite#theory_claims,OC-THEORY-LAW-001,laws,"Every OC law-like statement must be classified as theorem consequence, axiom schema, empirical/domain conjecture, or excluded metaphor.",0bca35df0990299c65aa5f673d37c9d995b3d5144c37460eb421dfac604c9ebf,AXIOM_ACCEPTED_WITH_BOUNDARY,REFUTED_REPAIRED_AND_PROVED_WITH_PROOFS,formal_or_counterproof,"The source row is a boundary/exclusion/axiom/supporting-only surface, not a theorem proof. 042 refutes any stronger proof reading and repairs the claim to its bounded formal role.","Repaired claim: the row is a bounded boundary/formal artifact, not proof beyond its stated ceiling.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/024/theory_conversion/oc_theory_conversion_024.sqlite,A law-like sentence has no status class or proof/evidence boundary.,Dependencies are closed by the referenced source DB/artifact and by 042 validator checks.,"Verified by 042 build and validation pass against source row, status mapping, artifact references, and closure boundary.",Classify all law candidates before publication wording.,Old stronger or intermediate reading is not accepted as proof; this row is repaired and proved only at the bounded 042 ceiling.,2026-05-22T14:54:03.582530+00:00
