claim_id,ordinal,title,statement,status,formal_proposition,assumptions,proof_or_counterproof,falsifier_check,dependency_closure,independent_verification,artifact_ref,updated_at
OC29-T001,1,Representation theorem,OC-M adequacy roles represent the required surfaces of observable/articulable system descriptions.,PROVED_MINIMAL_METAONTOLOGY_THEOREM,"For any MetaLanguage L, if Adequate L then L has each AdequacyRole: observation coverage, distinguishability, dynamics, pressure, repair, extension, collapse, underdetermination, projection non-inflation, evidence binding, and compositional refinement.",Observable/articulable reality is modeled as descriptions satisfying the adequacy-role index; no claim is made about unarticulated facts without observation binding.,Lean representation_theorem proves the role coverage statement directly from Adequate L.,A counterexample would be an Adequate L lacking an AdequacyRole; this contradicts the Adequate definition and is covered by removing_any_adequacy_role_breaks_adequacy.,Depends on formal AdequacyRole and Adequate definitions.,lake build checks formal/OCMinimal/Basic.lean.,formal/OCMinimal/Basic.lean,2026-05-22T10:23:58.683992+00:00
OC29-T002,2,Necessity theorem,Any adequate metamodel contains every OC-M adequacy role.,PROVED_MINIMAL_METAONTOLOGY_THEOREM,"For all L, Adequate L implies every r : AdequacyRole is present in L.",Adequacy axioms define the target class of universal metaontologies; outside that class the theorem does not apply.,Lean theorem representation_theorem and removing_any_adequacy_role_breaks_adequacy establish necessity and lower-bound failure.,"A rival missing observation, dynamics, pressure, repair, extension, collapse, underdetermination, projection discipline, evidence, or refinement fails the missing-role witness.",Depends on OC29-T001 and missingRoleLanguage.,Python minimality_witnesses.py removes each role and confirms inadequacy.,formal/OCMinimal/Basic.lean; formal/python/minimality_witnesses.py,2026-05-22T10:23:58.683992+00:00
OC29-T003,3,Uniqueness up to definitional equivalence,Every adequate metamodel is definitionally equivalent to OC-M on the required adequacy-role profile.,PROVED_MINIMAL_METAONTOLOGY_THEOREM,RoleEquivalent OCMeta L holds for any Adequate L over the AdequacyRole index.,Equivalence is over required adequacy roles. Extra structure is a non-minimal extension unless it solves a distinct formal obligation.,Lean minimal_uniqueness_up_to_definitional_equivalence proves bidirectional role equivalence over the adequacy-role index.,A counterexample must be adequate while lacking a required role; that is impossible by Adequate L.,"Depends on OCMeta, RoleEquivalent, and Adequate.",lake build verifies the theorem; validator enforces article wording.,formal/OCMinimal/Basic.lean; OC_MINIMAL_METAONTOLOGY_ARTICLE_BOUNDARY_029.md,2026-05-22T10:23:58.683992+00:00
OC29-T004,4,No eliminable primitive,Removing any OC-M adequacy role breaks adequacy.,PROVED_MINIMAL_METAONTOLOGY_THEOREM,"For every missing role r, missingRoleLanguage r is not Adequate.","Roles are typed adequacy obligations, not merely names.",Lean removing_any_adequacy_role_breaks_adequacy proves the universal removal theorem.,A falsifier would show missingRoleLanguage r is adequate for some r; Lean reduces this to r != r.,Depends on AdequacyRole decidable equality and Adequate.,Python witness enumerates all role removals.,formal/OCMinimal/Basic.lean; formal/python/minimality_witnesses.py,2026-05-22T10:23:58.683992+00:00
OC29-T005,5,Operator minimality under typed effects,The six continuum operators are minimal under typed semantic effect signatures.,PROVED_MINIMAL_METAONTOLOGY_THEOREM,"OperatorAdequate L requires introduce, differentiate, stabilize, project, invalidate, and repair. Removing any one operator role breaks OperatorAdequate L; operatorCode is injective.",The theorem is relative to typed semantic effects. A generic rewrite operator is not a role-preserving replacement.,Lean proves operatorCode_injective and removing_any_operator_breaks_operator_adequacy.,A falsifier must remove an operator role while preserving all typed effects; Python and Lean removal witnesses reject this.,"Depends on OperatorRole, OperatorAdequate, and typed role signatures.",Python enumerates every operator removal.,formal/OCMinimal/Basic.lean; formal/python/minimality_witnesses.py,2026-05-22T10:23:58.683992+00:00
OC29-T006,6,Central principle repaired theorem,"The central principle is the four-outcome stress-response taxonomy, not the old two-outcome fork.",PROVED_MINIMAL_METAONTOLOGY_THEOREM,"For every StressContext, classify returns absorption, extension, collapse, or underdetermined.","Structured pressure must declare evidenceBound, sameDescriptionRepair, extensionRepair, and invariantFailure.",Lean central_four_outcome_taxonomy proves exhaustiveness; absorption_is_counterexample_to_old_two_fork preserves the guard against the old fork.,A same-description repair case is a counterexample to the old fork but not to OC-M.,Depends on 027/028 repair and standalone 029 StressContext.,lake build verifies the taxonomy theorem.,formal/OCMinimal/Basic.lean,2026-05-22T10:23:58.683992+00:00
OC29-T007,7,Parametric K-ladder theorem,K-levels are derived as a parametric closure/rank ladder with adjacent non-collapse.,PROVED_MINIMAL_METAONTOLOGY_THEOREM,kRank n < kRank (n+1) for every n; kLadder maxDepth is List.range (maxDepth + 1).,The proof derives ladder form from a rank/closure parameter; it does not smuggle in a cosmic fixed count.,Lean k_adjacent_noncollapse and k_ladder_reference_13_count prove adjacent rank growth and the reference depth-12 count.,A falsifier would need adjacent ranks n and n+1 to collapse under kRank n = n; Nat.lt_succ_self rules this out.,Depends on Nat rank rule and parameterized kLadder.,Python checks increasing reference ladder.,formal/OCMinimal/Basic.lean; formal/python/minimality_witnesses.py,2026-05-22T10:23:58.683992+00:00
OC29-R001,8,Old absolute K0-K12 uniqueness refuted and repaired,Absolute non-parametric K0-K12 uniqueness is not derivable from the minimal metaontology.,REFUTED_AND_MODEL_REPAIRED,There exists an alternative depth whose kLadder length is not 13; therefore exact count 13 is not absolute without a depth parameter.,"K0-K12 survives as a reference instantiation at maxDepth 12, not as a theorem that reality has exactly 13 possible levels.",Lean fixed_k_count_not_absolute constructs alternativeDepth 13 with length 14; Python checks len(k_ladder(13)) != 13.,"This refutes only absolute count wording, not the parametric K-ladder theorem.",Depends on OC29-T007 and 028 K repair guard.,lake build and Python witness both check the repair.,formal/OCMinimal/Basic.lean; formal/python/minimality_witnesses.py,2026-05-22T10:23:58.683992+00:00
OC29-T008,9,Law admissibility theorem,"Law-like OC statements are admissible only with trigger, scope, outcome criterion, and falsifier.",PROVED_MINIMAL_METAONTOLOGY_THEOREM,"LawAdmissible L entails L.falsifier and includes trigger, scope, and outcomeCriterion.",Unconditional law slogans are outside article-eligible theorem language.,Lean law_admissibility_requires_falsifier proves the key non-rhetorical gate.,A law without falsifier cannot satisfy LawAdmissible.,Depends on LawCandidate structure.,Validator enforces article boundary against unconditional wording.,formal/OCMinimal/Basic.lean; formal/python/validate_029.py,2026-05-22T10:23:58.683992+00:00
OC29-R002,10,Crown stones rejected from core alone,Crown stones are not core theorems from the minimal metaontology alone.,REJECTED_FROM_CORE_WITH_COUNTERPROOF,coreOnlyDomainClaim has coreSignature True but localInstantiation and evidenceBound False; CrownPromoted coreOnlyDomainClaim is false.,A crown stone can be promoted later only by its own theorem chain or domain evidence.,Lean crown_not_core_from_signature_only proves core signature alone cannot promote a crown claim.,A falsifier would validate a crown from core signature without local instantiation; Lean coreOnlyDomainClaim blocks it.,Depends on DomainClaim and DomainValidated.,Article boundary forbids crown promotion from core alone.,formal/OCMinimal/Basic.lean; OC_MINIMAL_METAONTOLOGY_ARTICLE_BOUNDARY_029.md,2026-05-22T10:23:58.683992+00:00
