k_id,n,label,source_refs_json,current_status,invariant_required
OC-K00,0,"K0 - mere distinguishability; no time, energy or geometry","[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K01,1,K1 - geometric continuity and classical stability thresholds,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K02,2,"K2 - physical fields, phases and mass-related structures","[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K03,3,K3 - chemical organisation and origins-of-life / prebiotic structures,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K04,4,"K4 - protocellular organisation, internal gradients and membranes","[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K05,5,K5 - early bioelectrical excitability and protospiking,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K06,6,"K6 - cognitive axes, internal models and binding thresholds","[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K07,7,K7 - social continua with institutional thresholds,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K08,8,K8 - civilizational continua with infrastructural and systemic thresholds,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K09,9,K9 - theoretical continua,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K10,10,K10 - meta-theoretical continua,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K11,11,"K11 - meta-evolution of operators, meta-logics and meta-spaces","[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
OC-K12,12,K12 - semantic super-continuum and global coherence,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",SOURCE_BOUND_LEVEL_VOCABULARY,Required: invariant distinguishing this level from neighbors and showing why article scope needs it.
