attempt_id,claim_id,attempted_at,method,result,failure_or_limit,next_action
025-A000,OC25-LOCAL-ARCHIVE-001,2026-05-22T09:24:58Z,024 proof-authority audit and 025 reset,024 rejected as proof-grade closure; strict two-status 025 ledger opened.,024 remains source/boundary evidence only.,Prove first local formal theorem.
025-A001,OC25-LOCAL-ARCHIVE-001,2026-05-22T09:24:58Z,Exhaustive binary-label case split plus executable finite-model check,No binary whole-document label satisfies mixed obligations; enriched part-level classifier does.,The result is conditional on the binary label semantics and mixed-obligation model.,Use as local theorem for bounded central-schema analysis.
025-A002,OC25-CP-UNIVERSAL-001,2026-05-22T09:24:58Z,Existing-redaction countermodel,Archive with existing redaction/review structure resolves conflict without event-level new axis or collapse.,"Refutes only overbroad universal wording, not bounded unresolved-trigger schema.",Formalize bounded trigger schema.
025-A003,OC25-CP-SCHEMA-001,2026-05-22T09:27:16Z,Exhaustive repair/extension/collapse case split,Bounded central schema proved in finite formal model; universal wording remains refuted.,"The theorem depends on explicit trigger, exhaustive extension class, and organization-success predicate.",Audit primitive definitions for non-circular sufficiency.
025-A004,OC25-PRIMITIVES-001,2026-05-22T09:28:14Z,Dependency graph acyclicity and schema-independence audit,Primitive package for bounded schema proved non-circular and sufficient for statement of OC25-CP-SCHEMA-001.,This does not prove empirical or cross-domain adequacy of the primitives.,Rebuild operator claims as typed transition witnesses.
025-A005,OC25-OPERATORS-001,2026-05-22T09:29:21Z,One-operator rewrite countermodel,Strong global minimality/uniqueness of six source operators refuted.,Does not refute usefulness of six semantic labels; refutes only minimal/unique basis wording.,Split K-level distinctness from K-count/exhaustiveness.
025-A006,OC25-KLEVEL-001,2026-05-22T09:30:23Z,Alternative strict invariant chain countermodel,Strong uniqueness/exhaustiveness/minimality of K0-K12 count refuted.,Does not refute local adjacent distinctness when invariants are explicitly stated.,Recover law-like statements and test each one.
025-A007,OC25-LAWS-001,2026-05-22T09:31:21Z,Existing-repair law countermodel,Unconditional promotion of dimension/collapse law wording refuted.,Does not refute bounded central schema OC25-CP-SCHEMA-001.,Test crown-stone established-consequence wording.
025-A008,OC25-CROWN-001,2026-05-22T09:32:13Z,Failed-dependency counterproof,Established crown-stone consequence wording refuted.,Does not refute future narrower crown hypotheses with independent theorem chains.,Test domain-projection validation wording.
025-A009,OC25-DOMAIN-001,2026-05-22T09:33:05Z,Same-signature/different-validation countermodel,Core-only domain projection validation wording refuted.,Does not refute locally evidenced domain projections; refutes validation by core signature alone.,Run DB and artifact integrity checks.
025-A010,OC25-DOMAIN-001,2026-05-22T09:34:07Z,DB and executable artifact integrity check,"PASS: 9 claims, 9 terminal results, 3 PROVED_WITH_PROOF, 6 REFUTED_WITH_COUNTERPROOF, 0 bad statuses; all executable artifacts pass.","This is top-level internal queue closure, not full sentence-level corpus atomization.",Do not overclaim beyond 025 top-level internal queue.
