lane_id,lane_title,readiness_status,required_total,satisfied_total,failed_total,blocked_total,allowed_wording,forbidden_wording,next_action
SCIENTIFIC,Scientific formal/proof core,SATISFIED_WITH_ARTIFACTS,5,5,0,0,Negative results are part of the theory boundary. | OC central claims may be stated only at 042 ceiling. | OC has a bounded formal proof ledger. | OC has closed bounded contour ledgers. | Reproducibility is validator-backed.,Do not hide refuted claims by rewriting history. | No crown/domain promotion from vocabulary alone. | No proof claim from prose-only artifacts. | No unconditional proof across all reality. | OC is not an unbounded empirical law.,Maintain artifacts and rerun validators before promotion.
PUBLICATION_ARTICLE,Journal article sendability,BLOCKED_BY_EXTERNAL_EVIDENCE,5,3,1,1,Article is publication-preparable. | Article may cite bounded proof/evidence ledgers. | Journal paper can be prepared around bounded OC thesis. | No-send draft may be prepared. | Reviewer map can be used as support artifact.,Article is not journal-sendable without current related-work/venue gate. | Do not ignore known attacks. | Do not send as journal submission before owner gate. | Do not submit a universal empirical proof claim. | No theorem without artifact ref.,Run current literature/venue refresh before send.; Owner-send decision and ethics/disclosure review are external gates.
MONOGRAPH_BOOK,Monograph/book readiness,BLOCKED_BY_EXTERNAL_EVIDENCE,4,1,2,1,Appendix material exists for a bounded monograph. | Book can be prepared after audit. | Monograph source exists as a draft corpus. | Private book manuscript can be prepared.,Do not call the monograph book-ready until remapped and leakage-audited. | Do not omit negative results. | Do not publish as book before owner/release gate. | Do not publish internal control prose as book prose.,Existing monograph must be remapped to 042/044 claims and checked chapter-by-chapter.; Run and fix a reader-facing leakage/style audit for the assembled monograph.; Owner/publication rights gate is required before book release.
REPUTATION_PUBLIC,Public reputation-safe wording,SATISFIED_WITH_ARTIFACTS,2,2,0,0,"Limitations can be publicly named. | OC is a bounded, proof/evidence-ledger metamodel.",Do not reintroduce old crown/domain overclaims. | OC is not fully empirically proved across all reality.,Maintain artifacts and rerun validators before promotion.
INSTRUMENTAL_PROTOCOL,Operational protocol,SATISFIED_WITH_ARTIFACTS,3,3,0,0,Analysis can request a concrete input package. | Internal replay-backed use is available. | OC can be used for bounded internal domain/claim analysis.,Do not infer missing client facts. | No empirical promotion without replay/data. | Protocol does not validate domains without evidence.,Maintain artifacts and rerun validators before promotion.
ESTRA_TOOLKIT,Estra Toolkit readiness,BLOCKED_BY_EXTERNAL_EVIDENCE,5,2,2,1,Internal workflow spec exists. | Toolkit can enumerate the question surface. | Toolkit can remain internal/pilot-prep. | Toolkit has a canonical core integration contract. | Toolkit requirements are now concrete.,Do not call Estra Toolkit ready before module contract/tests pass. | Do not call Toolkit product-ready without current QA. | Do not hide in-progress EAQ rows. | Do not sell or externally release from internal readiness. | No parallel ad-hoc scientific pipeline.,"Existing materials define pieces, but 044 requires one consolidated Toolkit module contract and runtime acceptance tests for every module.; Run current Toolkit UI/API verification against 044 requirements and repair failures.; Requires owner release decision and user/workflow validation."
EA_SECOND_OPINION,Enterprise Architecture Second Opinion readiness,BLOCKED_BY_EXTERNAL_EVIDENCE,5,3,1,1,Current bounded packets may be used internally with provisional boundary. | EA Second Opinion can be specified as a bounded diagnostic packet. | EA Second Opinion has a concrete question surface. | EA Second Opinion may be pilot-prep/internal. | EA behavior coverage is explicit.,Data package does not create client-safe outcome proof. | Do not call full EA2O ready while chains remain in progress. | Do not market a narrower accidental slice as complete. | Do not promise client outcomes or ROI. | Do not use a partial or hidden question list.,Close 3 in-progress EAQ chains.; External client evidence and owner gate required.
PRODUCT_WORKFLOW,Bounded product workflow,FAILED_NEEDS_REPAIR,3,2,1,0,A bounded internal workflow exists. | Internal workflow can guide implementation. | Product packets can be traced to runtime refs.,Do not call product-ready until QA/support pass. | Do not rely on untraceable demos. | Not an externally sellable product by itself.,Produce current product QA runbook and acceptance test for the selected workflow.
BUSINESS_COMMERCIAL,Business/commercial claimability,BLOCKED_BY_EXTERNAL_EVIDENCE,3,1,0,2,Commercial work can remain pre-market. | Internal business plan may cite blockers. | Use for internal planning and pilot preparation.,Do not treat pilot-prep as sales proof. | No ROI/revenue/client-safe promises. | No legal/FTO/public-release claim.,Acquire external client/market evidence and owner approval.; Counsel/IP/FTO review and owner release gate required.
CORPORATE_GOVERNANCE,Corporate governance and external decision control,BLOCKED_BY_EXTERNAL_EVIDENCE,3,2,0,1,Governance can use the readiness atlas internally. | Internal owner review can continue. | Traceability exists across 042/043/044.,Do not accept untraceable readiness claims. | Do not externalize without decision records. | Governance does not prove external claims.,Add current signed owner/counsel/client decision logs for external actions.
