attempt_id,source_033_row_id,method,result_status,result_note,next_action,updated_at
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-002-K1-CHEMISTRY,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-002-K1-CHEMISTRY,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=1c5cf4d883bfca916b91999d3b5d1f9fb1781d05598673cabdb9c8d9d00276c0; trace_count=5; boundary_sentence_count=4.,"Run a K1 chemistry packet using a declared reaction network such as formose/RAF: dataset, rate/yield traces, condition grid, replay script, held-out cases, and acceptance thresholds.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-003-K2-BIOLOGY,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-003-K2-BIOLOGY,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=65859f7e59b21364dd03a02335aabc90b2c551ac6ade6a1749b4597dc94cf5e4; trace_count=5; boundary_sentence_count=4.,"Run a K2 biology comparative packet: wound/biofilm/homeostasis cases, observable schema, perturbation outcomes, replay cases, and failure contrasts.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-004-K3-COGNITION,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-004-K3-COGNITION,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=f28d91f0b11b73403a3b351adf9d113e2ad3c40e82a82c34e90a4552e87f5553; trace_count=5; boundary_sentence_count=4.,"Run a K3 cognition packet: ambiguous sentence/roadside perception tasks, reaction-time/error data, revision-vs-collapse criteria, and replication protocol.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-005-K4-AGENCY,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-005-K4-AGENCY,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=f0cde524659f105bd8c0ce0a346df209b5ef9d8ebb3f819aba42940706d43fe2; trace_count=5; boundary_sentence_count=4.,"Run a K4 agency packet: decision tasks with observable constraints, interventions on options/resources, preregistered outcome criteria, and replay.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-006-K5-SOCIAL,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-006-K5-SOCIAL,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=57c07058375622455a8e759fd41978b674b63ce95a618c9f0d40d3bff40c33b7; trace_count=7; boundary_sentence_count=4.,"Run a K5 social packet: social-network or coordination dataset, boundary/operator labels, perturbation history, falsifiers, and replication script.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=a81ae9462fa44ffe3dc4a2fead7abb90b2131f4d5778112496a9721a8414f878; trace_count=5; boundary_sentence_count=4.,"Run a K6 institutions packet: source-bound policy/process dataset, procedure traces, compliance/failure metrics, and independent audit replay.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=db663391001749a3dd1038c12e0841336040e813f09c24de3287533ad14d068e; trace_count=8; boundary_sentence_count=4.,"Run a K7 civilization packet: explicit historical cases, indicators, countercases, replayable coding rubric, and independent replication.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K10-META-THEORY,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K10-META-THEORY,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=ce8add46de78964b39893040f2c35bc9c1d28f259f18059ff4e0d13e9ed3ee70; trace_count=5; boundary_sentence_count=4.,"Run a K10 meta-theory packet: formal theorem ledger, independent proof replay, countermodel set, and article boundary audit.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=5259ddc20a5f0aaab954fd3be77c0b2e230857d5ccafe1af43ca753aa4dc5d3e; trace_count=10; boundary_sentence_count=4.,"Run a K11 reflexive systems packet: self-monitoring system logs, intervention protocol, pre/post behavior metrics, and replay.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K12-GRAND-SYNTHESIS,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=ab9c710bab84a2da7e73c31272ca8cb3594dfd538169b3bcd7352ece9e7864ac; trace_count=8; boundary_sentence_count=4.,"Run a K12 synthesis packet: full graph validator, independent replay of all domain/crown packets, and article wording proof.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=3509977b81d1a05cbafc88318b458dbdef5f969f8789e6c81347071d97969b57; trace_count=6; boundary_sentence_count=4.,"Run a K8 technology packet: artifact benchmark, logs/test cases, failure modes, acceptance thresholds, and reproducible replay.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,OC33-DOMAIN-CHAPTER-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,source recovery + evidence ceiling test,FORMALLY_PROVED_NONEMPIRICAL_PROJECTION,chapter_sha256=507b9bf5c5654ebee6e4b0178b922fb5e1b7938356d548f98b4c67c2ccac68c2; trace_count=5; boundary_sentence_count=4.,"Run a K9 AI packet: eval suite, held-out tasks, tool/policy perturbations, error taxonomy, replay scripts, and acceptance gates.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-CROWN-NAMED-INVENTORY,OC33-CROWN-NAMED-INVENTORY-GAP,source recovery + evidence ceiling test,REQUIRES_NEW_LOCAL_DATA,named_crown_registry_rows=7; maturity_levels=['partial'].,Build one theorem-chain/evidence packet for each registry stone before any positive crown-stone wording.,2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,OC33-EMPIRICAL-ATTACK-RESPONSE-COVERAGE,source recovery + evidence ceiling test,REQUIRES_NEW_LOCAL_DATA,attack_response_file_total=42.,"Map each empirical attack-response unit to accepted evidence, counterevidence, repaired wording, or explicit exclusion.",2026-05-22T11:58:14.340328+00:00
ATTEMPT-OC35-PACKET-FULL-EMPIRICAL-ARTICLE-GATE,OC33-ARTICLE-FULL-EMPIRICAL-CLOSEOUT-GATE,source recovery + evidence ceiling test,REQUIRES_NEW_LOCAL_DATA,This gate intentionally remains open while 035 empirical upgrade requirements are open.,"Close all empirical upgrade requirements, then rerun 035 validator and article boundary audit.",2026-05-22T11:58:14.340328+00:00
