question_id,question_text,tier,cluster,failure_cause,customer_job,oc_mechanisms,required_data_refs,answerability,toolkit_ready,product_ready,publication_ready,business_ready,public_status,chain_stage,current_readiness,source_ref,evidence_refs,gap_note
EAQ_001,Can the architecture remain serviceable under sustained peak load without hidden destructive dynamics?,T1_SURVIVAL_SECURITY,SURVIVABILITY_LOAD,SURVIVABILITY_UNDER_LOAD,"survive load, feedback, and resilience stress","THR::DISCOVERY_DESTRUCTION_DYNAMICS, THR::DISCOVERY_PHASE_TRANSITION_HYSTERESIS","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_001/EAQ_001_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_001/EAQ_001_ANSWER_PACKET_latest.md; _tmp_pytest/root/test_eaq001_case_bound_packets0/ea_questions/EAQ_001/EAQ_001_PYTHON_SIMULATION_RESULT_latest.json; _tmp_pytest/root/test_eaq001_case_bound_packets0/ea_questions/EAQ_001/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; _tmp_pytest/root/test_eaq001_case_bound_packets0/ea_questions/EAQ_001/EAQ_001_PUBLICATION_PACKET_latest.md; _tmp_pytest/root/test_eaq001_case_bound_packets0/ea_questions/EAQ_001/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
EAQ_002,Will a system that looks migration-ready still fail once real production load and coupling are applied?,T1_SURVIVAL_SECURITY,SURVIVABILITY_LOAD,MIGRATION_READY_FALSE_POSITIVE,"survive load, feedback, and resilience stress","THR::DISCOVERY_DESTRUCTION_DYNAMICS, THR::DISCOVERY_PHASE_TRANSITION_HYSTERESIS","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_002/EAQ_002_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_002/EAQ_002_ANSWER_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_002/EAQ_002_PYTHON_SIMULATION_RESULT_latest.json; logion/k7/reports/ea_questions/EAQ_002/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_002/EAQ_002_PUBLICATION_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_002/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
EAQ_003,Where can hidden dependency blast radius turn a local incident into estate-wide failure?,T1_SURVIVAL_SECURITY,TRANSFORMATION_FAILURE,HIDDEN_DEPENDENCY_BLAST_RADIUS,make change and migration risk visible,"THR::DISCOVERY_DESTRUCTION_DYNAMICS, THR::DISCOVERY_LIFECYCLE_INTEGRITY_FEEDBACK, THR::DISCOVERY_PHASE_TRANSITION_HYSTERESIS","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_003/EAQ_003_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_003/EAQ_003_ANSWER_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_003/EAQ_003_PYTHON_SIMULATION_RESULT_latest.json; logion/k7/reports/ea_questions/EAQ_003/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_003/EAQ_003_PUBLICATION_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_003/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
EAQ_004,Can a control-plane fault take down the data plane or recovery path?,T1_SURVIVAL_SECURITY,SURVIVABILITY_LOAD,CONTROL_PLANE_COUPLING,"survive load, feedback, and resilience stress","THR::DISCOVERY_DESTRUCTION_DYNAMICS, THR::DISCOVERY_PHASE_TRANSITION_HYSTERESIS","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_004/EAQ_004_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_004/EAQ_004_ANSWER_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_004/EAQ_004_PYTHON_SIMULATION_RESULT_latest.json; logion/k7/reports/ea_questions/EAQ_004/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_004/EAQ_004_PUBLICATION_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_004/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
EAQ_005,What conditions cause failover to preserve availability but corrupt state?,T1_SURVIVAL_SECURITY,CHANGE_SAFETY,FAILOVER_STATE_CORRUPTION,"survive load, feedback, and resilience stress","THR::DISCOVERY_LIFECYCLE_INTEGRITY_FEEDBACK, THR::DISCOVERY_PHASE_TRANSITION_HYSTERESIS","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_005/EAQ_005_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_005/EAQ_005_ANSWER_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_005/EAQ_005_PYTHON_SIMULATION_RESULT_latest.json; logion/k7/reports/ea_questions/EAQ_005/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_005/EAQ_005_PUBLICATION_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_005/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
EAQ_006,Can transformation activity silently collapse security boundaries or privilege separation?,T1_SURVIVAL_SECURITY,SURVIVAL_SECURITY,SECURITY_BOUNDARY_COLLAPSE,prevent boundary and privilege collapse,"THR::DISCOVERY_DESTRUCTION_DYNAMICS, THR::DISCOVERY_LIFECYCLE_INTEGRITY_FEEDBACK","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_006/EAQ_006_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_006/EAQ_006_ANSWER_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_006/EAQ_006_PYTHON_SIMULATION_RESULT_latest.json; logion/k7/reports/ea_questions/EAQ_006/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_006/EAQ_006_PUBLICATION_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_006/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
EAQ_007,"Which retry, timeout, or queue feedback loops can create a cascading failure under stress?",T1_SURVIVAL_SECURITY,SURVIVABILITY_LOAD,CASCADE_RETRY_STORM,"survive load, feedback, and resilience stress","THR::DISCOVERY_DESTRUCTION_DYNAMICS, THR::DISCOVERY_PHASE_TRANSITION_HYSTERESIS","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_007/EAQ_007_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_007/EAQ_007_ANSWER_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_007/EAQ_007_PYTHON_SIMULATION_RESULT_latest.json; logion/k7/reports/ea_questions/EAQ_007/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_007/EAQ_007_PUBLICATION_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_007/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
EAQ_008,Where is the real single point of failure despite nominal redundancy?,T1_SURVIVAL_SECURITY,SURVIVAL_SECURITY,LATENT_SINGLE_POINT_OF_FAILURE,prevent boundary and privilege collapse,"THR::DISCOVERY_DESTRUCTION_DYNAMICS, THR::DISCOVERY_LIFECYCLE_INTEGRITY_FEEDBACK","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_008/EAQ_008_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_008/EAQ_008_ANSWER_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_008/EAQ_008_PYTHON_SIMULATION_RESULT_latest.json; logion/k7/reports/ea_questions/EAQ_008/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_008/EAQ_008_PUBLICATION_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_008/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
EAQ_009,What part of a cutover can create irreversible data loss before alarms fire?,T1_SURVIVAL_SECURITY,CHANGE_SAFETY,CUTOVER_DATA_LOSS,make change and migration risk visible,"THR::DISCOVERY_LIFECYCLE_INTEGRITY_FEEDBACK, THR::DISCOVERY_PHASE_TRANSITION_HYSTERESIS","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_009/EAQ_009_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_009/EAQ_009_ANSWER_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_009/EAQ_009_PYTHON_SIMULATION_RESULT_latest.json; logion/k7/reports/ea_questions/EAQ_009/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_009/EAQ_009_PUBLICATION_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_009/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
EAQ_010,Can rollback fail because hidden coupling makes the old state unrecoverable?,T1_SURVIVAL_SECURITY,ROLLBACK_REBUILD,ROLLBACK_IMPOSSIBLE_UNDER_COUPLING,govern AI and automation readiness,"THR::DISCOVERY_LIFECYCLE_INTEGRITY_FEEDBACK, THR::DISCOVERY_PHASE_TRANSITION_HYSTERESIS","logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json, logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json",ANSWERED,0,0,0,0,SCIENTIFICALLY_SUPPORTED,QUESTION_LOCAL_SUPPORT_CHAIN_COMPLETE,QUESTION_CHAIN_COMPLETE,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_010/EAQ_010_ANSWER_PACKET_latest.md,logion/k7/reports/ea_questions/EAQ_010/EAQ_010_ANSWER_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_010/EAQ_010_PYTHON_SIMULATION_RESULT_latest.json; logion/k7/reports/ea_questions/EAQ_010/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/reports/ea_questions/EAQ_010/EAQ_010_PUBLICATION_PACKET_latest.md; logion/k7/reports/ea_questions/EAQ_010/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,No question-local gap for bounded EA-domain answer.
