lane_id,current_status,required_total,satisfied_total,failed_total,blocked_total,next_action
BUSINESS_COMMERCIAL,BLOCKED_BY_EXTERNAL_EVIDENCE,3,1,0,2,Supply external evidence/decision gate listed in 045 external request packet.
CORPORATE_GOVERNANCE,BLOCKED_BY_EXTERNAL_EVIDENCE,3,2,0,1,Supply external evidence/decision gate listed in 045 external request packet.
EA_SECOND_OPINION,BLOCKED_BY_EXTERNAL_EVIDENCE,5,4,0,1,Supply external evidence/decision gate listed in 045 external request packet.
ESTRA_TOOLKIT,BLOCKED_BY_EXTERNAL_EVIDENCE,5,4,0,1,Supply external evidence/decision gate listed in 045 external request packet.
INSTRUMENTAL_PROTOCOL,SATISFIED_WITH_ARTIFACTS,3,3,0,0,None inside repo; lane is artifact-complete.
MONOGRAPH_BOOK,BLOCKED_BY_EXTERNAL_EVIDENCE,4,3,0,1,Supply external evidence/decision gate listed in 045 external request packet.
PRODUCT_WORKFLOW,SATISFIED_WITH_ARTIFACTS,3,3,0,0,None inside repo; lane is artifact-complete.
PUBLICATION_ARTICLE,BLOCKED_BY_EXTERNAL_EVIDENCE,5,4,0,1,Supply external evidence/decision gate listed in 045 external request packet.
REPUTATION_PUBLIC,SATISFIED_WITH_ARTIFACTS,2,2,0,0,None inside repo; lane is artifact-complete.
SCIENTIFIC,SATISFIED_WITH_ARTIFACTS,5,5,0,0,None inside repo; lane is artifact-complete.
