definition_id,term,provisional_definition,type_signature,source_refs_json,current_status,falsifier_or_check
OC-DEF-DESCRIPTION,description,"A typed representation frame for a system, with named observables and admissible distinctions.","Description := (objects, observables, distinctions, admissible operations, failure tests)","[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,No observables or distinctions are named.
OC-DEF-SYSTEM,system,The object or configuration being described under a selected description.,System_D := object/configuration inside description D,"[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,The object boundary cannot be stated.
OC-DEF-STATE,state,A located configuration of a system within a description.,"State(S,D) := admissible location/configuration of S under D","[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,No state comparison exists.
OC-DEF-AXIS,axis,A named dimension of variation within a description.,Axis(D) := typed coordinate/ordering/distinction dimension in D,"[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,The axis adds no distinguishable variation.
OC-DEF-CONTINUUM,continuum,A structured range of possible states or descriptions along one or more axes.,Continuum := states plus structure over axes,"[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,"No ordering, adjacency, metric, topology, or transition relation is given."
OC-DEF-BOUNDARY,boundary,"A rule, threshold, surface, or distinction governing separation or crossing.",Boundary(C) := separation/crossing predicate or rule on a continuum,"[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,Crossing or separation criteria are absent.
OC-DEF-OPERATOR,operator,"A transformation acting on states, boundaries, axes, continua, or descriptions.","Operator := typed map with domain, codomain, preserved structure, lost structure","[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,Domain/codomain and preservation/loss conditions are absent.
OC-DEF-CONSTRAINT,constraint,"A condition that a description, state, or transformation must satisfy.",Constraint := predicate over descriptions/states/operators,"[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,No failure condition exists.
OC-DEF-CONTRADICTION,contradiction,An incompatibility among active constraints under the current description.,Contradiction_D := finite active constraints not jointly satisfiable under D,"[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,The incompatibility can be resolved inside the current description.
OC-DEF-RESOLUTION,resolution,A transformation or refinement that removes incompatibility without losing required organization.,Resolution := operator or description refinement satisfying active constraints,"[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",ACCEPTED_PRIMITIVE_WITH_CHECK,Neither preservation nor incompatibility removal is shown.
