attempt_id,obligation_row_id,dataset_id,method,result_status,result_note,local_path,updated_at
ACQ040-K11_CMAPSS_TURBOFAN_MONITORING-OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K11-REFLEXIVE-SYSTEMS,K11_CMAPSS_TURBOFAN_MONITORING,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k11_cmapss_turbofan_monitoring.zip,2026-05-22T14:30:38.461911+00:00
ACQ040-K1_FORMOSE_RESERVOIR_ZENODO-OC39-FOLLOWUP-OC36-K1-SC05-FORMOSE-RAF-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC36-K1-SC05-FORMOSE-RAF-LOCAL-DATA-GAP,K1_FORMOSE_RESERVOIR_ZENODO,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k1_formose_reservoir_computation_final.zip,2026-05-22T14:30:38.462178+00:00
ACQ040-K2_GSE35837_BIOFILM_MATRIX-OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,K2_GSE35837_BIOFILM_MATRIX,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k2_GSE35837_biofilm_series_matrix.txt.gz,2026-05-22T14:30:38.462414+00:00
ACQ040-K2_UCI_DIABETES_HOMEOSTASIS-OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,K2_UCI_DIABETES_HOMEOSTASIS,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,curl fallback succeeded,D:\Logion Storage\oc_evidence_datasets\040\k2_uci_diabetes_130_us_hospitals_homeostasis.zip,2026-05-22T14:30:38.462588+00:00
ACQ040-K3_ZENODO_GARDEN_PATH_PROCESSING-OC39-FOLLOWUP-OC38-K3-SC05-AMBIGUOUS-SENTENCE-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC38-K3-SC05-AMBIGUOUS-SENTENCE-LOCAL-DATA-GAP,K3_ZENODO_GARDEN_PATH_PROCESSING,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k3_zenodo_garden_path_processing_data.zip,2026-05-22T14:30:38.462696+00:00
ACQ040-K3_ZENODO_GARDEN_PATH_PROCESSING-OC39-FOLLOWUP-OC38-K3-SC06-ROADSIDE-PERCEPTION-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC38-K3-SC06-ROADSIDE-PERCEPTION-LOCAL-DATA-GAP,K3_ZENODO_GARDEN_PATH_PROCESSING,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k3_zenodo_garden_path_processing_data.zip,2026-05-22T14:30:38.462706+00:00
ACQ040-K3_ZENODO_ROAD_HAZARD_FIXATIONS-OC39-FOLLOWUP-OC38-K3-SC05-AMBIGUOUS-SENTENCE-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC38-K3-SC05-AMBIGUOUS-SENTENCE-LOCAL-DATA-GAP,K3_ZENODO_ROAD_HAZARD_FIXATIONS,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k3_zenodo_road_hazard_fixations.csv,2026-05-22T14:30:38.462891+00:00
ACQ040-K3_ZENODO_ROAD_HAZARD_FIXATIONS-OC39-FOLLOWUP-OC38-K3-SC06-ROADSIDE-PERCEPTION-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC38-K3-SC06-ROADSIDE-PERCEPTION-LOCAL-DATA-GAP,K3_ZENODO_ROAD_HAZARD_FIXATIONS,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k3_zenodo_road_hazard_fixations.csv,2026-05-22T14:30:38.462902+00:00
ACQ040-K4_CPC18_DECISION_DATA-OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-005-K4-AGENCY,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-005-K4-AGENCY,K4_CPC18_DECISION_DATA,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k4_cpc18_all_raw_data.csv,2026-05-22T14:30:38.463033+00:00
ACQ040-K5_ZACHARY_KARATE_KONECT-OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-006-K5-SOCIAL,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-006-K5-SOCIAL,K5_ZACHARY_KARATE_KONECT,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k5_zachary_karate_zenodo.txt,2026-05-22T14:30:38.463134+00:00
ACQ040-K6_WORLD_BANK_WGI_CC-OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-007-K6-INSTITUTIONS,K6_WORLD_BANK_WGI_CC,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k6_world_bank_wgi_control_of_corruption.zip,2026-05-22T14:30:38.463237+00:00
ACQ040-K7_OWID_MADDISON_GDP-OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-008-K7-CIVILIZATION,K7_OWID_MADDISON_GDP,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k7_owid_gdp_per_capita_maddison.csv,2026-05-22T14:30:38.463363+00:00
ACQ040-K8_UCI_AI4I_PREDICTIVE_MAINTENANCE-OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K8-TECHNOLOGY,K8_UCI_AI4I_PREDICTIVE_MAINTENANCE,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k8_uci_ai4i_2020_predictive_maintenance.zip,2026-05-22T14:30:38.463460+00:00
ACQ040-K9_UCI_IRIS_EVAL_SURFACE-OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,OC39-QUEUE-OC35-EMPIRICAL-UPGRADE-DOMAIN-PROJECTIONS-017-K9-AI-SYSTEMS,K9_UCI_IRIS_EVAL_SURFACE,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,local file already present,D:\Logion Storage\oc_evidence_datasets\040\k9_uci_iris_eval_surface.zip,2026-05-22T14:30:38.463559+00:00
ACQ040-OC039_K1_FORMOSE_RAF_PUBLIC_DATASET-OC39-FOLLOWUP-OC36-K1-SC05-FORMOSE-RAF-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC36-K1-SC05-FORMOSE-RAF-LOCAL-DATA-GAP,OC039_K1_FORMOSE_RAF_PUBLIC_DATASET,copy/import/download,ACTIVE_DATA_ACQUISITION_REQUIRED,copied OC 039 protocol marker,D:\Logion Storage\oc_evidence_datasets\040\NO_PUBLIC_FORMOSE_RAF_DATASET_BOUND.txt,2026-05-22T14:30:38.463655+00:00
ACQ040-OC039_K2_GSE241132_WOUND_MATRIX-OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,OC039_K2_GSE241132_WOUND_MATRIX,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,copied from OC 039 seed root,D:\Logion Storage\oc_evidence_datasets\040\k2_GSE241132_series_matrix.txt.gz,2026-05-22T14:30:38.463756+00:00
ACQ040-OC039_K2_GSE28914_WOUND_MATRIX-OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,OC39-FOLLOWUP-OC37-K2-SC05-WOUND-BIOFILM-HOMEOSTASIS-LOCAL-DATA-GAP,OC039_K2_GSE28914_WOUND_MATRIX,copy/import/download,DATASET_ACQUIRED_REPLAY_REQUIRED,copied from OC 039 seed root,D:\Logion Storage\oc_evidence_datasets\040\k2_GSE28914_series_matrix.txt.gz,2026-05-22T14:30:38.463885+00:00
