requirement_id,lane_id,title,necessity,acceptance_criterion,source_refs,artifact_refs,current_status,blocker,allowed_wording,forbidden_wording,verification_note
BUS-001,BUSINESS_COMMERCIAL,Planning/pilot business package boundary,required,Offer catalog and master book separate planning/pilot value from sales claims.,logion/k7/spe/state/product/OFFER_PACKAGE_CATALOG_latest.json; logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/spe/state/product/OFFER_PACKAGE_CATALOG_latest.json; logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,Use for internal planning and pilot preparation.,Do not treat pilot-prep as sales proof.,Offer catalog explicitly names planning/pilot and blockers.
BUS-002,BUSINESS_COMMERCIAL,"ROI, market, pricing, and client proof",required,Commercial claims require external market/pricing/client evidence and owner approval.,logion/k7/spe/state/product/OFFER_PACKAGE_CATALOG_latest.json; logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,BLOCKED_BY_EXTERNAL_EVIDENCE,Acquire external client/market evidence and owner approval.,Commercial work can remain pre-market.,No ROI/revenue/client-safe promises.,Master and offer catalog block GA/commercial claims. 045 supplies request/decision packet only; it does not fabricate external evidence.
BUS-003,BUSINESS_COMMERCIAL,"Legal, FTO, counsel, and public-release gate",required,Legal/FTO/public release claims require counsel/IP review and release decision.,logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,BLOCKED_BY_EXTERNAL_EVIDENCE,Counsel/IP/FTO review and owner release gate required.,Internal business plan may cite blockers.,No legal/FTO/public-release claim.,Master book blocks legal/FTO/client-safe claims. 045 supplies request/decision packet only; it does not fabricate external evidence.
GOV-001,CORPORATE_GOVERNANCE,Owner/board control book and no-send gates,required,"Master book carries owner-click, no-send, evidence/gap, and decision boundary.",logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,Governance can use the readiness atlas internally.,Governance does not prove external claims.,Master book contains owner/no-send/evidence boundary.
GOV-002,CORPORATE_GOVERNANCE,Evidence registry and traceability,required,"Readiness rows bind to source refs, proof/evidence refs, and validators.",logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/oc_goal_readiness_contract_043.sqlite,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/042/absolute_proof_closure/oc_absolute_proof_closure_042.sqlite; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/043/goal_readiness_contract/oc_goal_readiness_contract_043.sqlite,SATISFIED_WITH_ARTIFACTS,,Traceability exists across 042/043/044.,Do not accept untraceable readiness claims.,DB-backed source/artifact refs exist.
GOV-003,CORPORATE_GOVERNANCE,RACI/role ownership and external decision logs,required,External publication/commercial actions need signed owner/counsel/client decision records.,logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,BLOCKED_BY_EXTERNAL_EVIDENCE,Add current signed owner/counsel/client decision logs for external actions.,Internal owner review can continue.,Do not externalize without decision records.,Current 044 inputs do not include fresh signed external decision logs. 045 supplies request/decision packet only; it does not fabricate external evidence.
EA2O-001,EA_SECOND_OPINION,Complete target customer question atlas,required,"The EA target question surface is represented exactly once with tiers, clusters, failure modes, mechanisms, data refs, and readiness.",logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/044/goal_requirements_atlas/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,EA Second Opinion has a concrete question surface.,Do not use a partial or hidden question list.,"Recovered 103 questions, 100 complete, 3 in progress."
EA2O-002,EA_SECOND_OPINION,Behavior classes that matter to the CTO/EA audience,required,"Question atlas covers load survivability, hidden dependencies, boundary collapse, retry storms, failover state corruption, observability, migration risk, portfolio priority, governance, AI/automation, and safe standardization.",logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json,logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/044/goal_requirements_atlas/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,EA behavior coverage is explicit.,Do not market a narrower accidental slice as complete.,Behavior classes are recovered from EA ladder clusters/failure causes.
EA2O-003,EA_SECOND_OPINION,"Data intake, replay, and report packet",required,"Second Opinion has required data package, case/replay refs, and a client/report deliverable template.",logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json; logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/spe/state/toolkit/EA_REQUIRED_DATA_PACKAGE_latest.json; logion/k7/spe/state/toolkit/EA_CASE_CORPUS_MANIFEST_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,EA Second Opinion can be specified as a bounded diagnostic packet.,Data package does not create client-safe outcome proof.,EA data/case/client deliverable artifacts exist.
EA2O-004,EA_SECOND_OPINION,Close in-progress EAQ chains,required,"EAQ_101, EAQ_102, and EAQ_103 must have complete science/client/product/publication chains before full EA2O readiness.",logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/spe/state/strategy/QUESTION_CHAIN_PORTFOLIO_REGISTRY_latest.json; logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/OC_EAQ_CLOSURE_PACKET_045.md,SATISFIED_WITH_ARTIFACTS,,Current bounded packets may be used internally with provisional boundary. 045 artifact-complete at bounded claim ceiling.,Do not call full EA2O ready while chains remain in progress.,"EAQ_101, EAQ_102, and EAQ_103 are closed as bounded internal EA-domain chains with answer packet, simulation/result, client/product/toolkit/publication packets, and no external outcome claim."
EA2O-005,EA_SECOND_OPINION,Client-safe and external validation boundary,required,Client-safe claims require external client proof and owner approval beyond internal simulations.,logion/k7/spe/state/gates/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k0/governance/status/<SOURCE_BOUNDARY_STATUS_SURFACE><PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k7/release_missions/oc_core_current/packages/oc_core_1_4/045/readiness_fulfillment_closure/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,BLOCKED_BY_EXTERNAL_EVIDENCE,External client evidence and owner gate required.,EA Second Opinion may be pilot-prep/internal.,Do not promise client outcomes or ROI.,Master and client gate keep external blocker. 045 supplies request/decision packet only; it does not fabricate external evidence.
TOOL-001,ESTRA_TOOLKIT,Scientific core integration path,required,Toolkit discovers and runs the canonical scientific core through a deterministic path.,logion/k1/contracts/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,logion/k1/contracts/<PUBLIC_BOUNDARY_REDACTED_FILENAME>,SATISFIED_WITH_ARTIFACTS,,Toolkit has a canonical core integration contract.,No parallel ad-hoc scientific pipeline.,Toolkit integration contract exists.
TOOL-002,ESTRA_TOOLKIT,EAQ feature registry and question selector,required,All EAQ question rows have feature registry entries and prioritization metadata.,logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json,logion/k7/spe/state/toolkit/<PUBLIC_BOUNDARY_REDACTED_FILENAME>; logion/k7/spe/state/strategy/EA_QUESTION_LADDER_latest.json,SATISFIED_WITH_ARTIFACTS,,Toolkit can enumerate the question surface.,Do not hide in-progress EAQ rows.,Builder recovered 103 EAQ rows.
