claim_id,claim_class,title,exact_statement,source_refs_json,current_status,article_eligible,priority,dependency_group,falsifier,acceptance_criteria
OC-THEORY-DEF-001,primitive_package,Primitive vocabulary package,"Define description, system, state, axis, continuum, boundary, operator, constraint, contradiction, resolution, collapse, and dimension birth with type signatures and falsifier checks.","[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",AXIOM_ACCEPTED_WITH_BOUNDARY,1,1,foundation,"A term has no type signature, source anchor, or failure check.","All primitive definitions have source refs, type signatures, counterexample/falsifier checks, and no circular dependence on the central principle."
OC-THEORY-CP-001,central_principle,Central principle theorem/axiom/refutation decision,An unresolved contradiction either gives rise to a new dimension of description or collapses the configuration that cannot resolve it.,"[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",AXIOM_ACCEPTED_WITH_BOUNDARY,1,2,foundation,"A persistent unresolved contradiction exists that neither requires a new axis nor damages the relevant configuration, under the stated trigger conditions.","Decide PROVED_THEOREM, AXIOM_ACCEPTED_WITH_BOUNDARY, or REFUTED_AND_REPAIRED with proof/countermodel and article boundary."
OC-THEORY-OP-001,operator_catalog,Operator catalog recovery,"The OC operator catalog consists of Birth, Differentiate, Stabilize, Project, Kill, and Repair as source-bound operator nodes.","[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_Operators_Are_Needed.md""]",AXIOM_ACCEPTED_WITH_BOUNDARY,1,3,operators,A source-required operator is missing or a listed operator lacks a role/type signature.,"Recover exact list, roles, type signatures, closure/composition obligations, and article boundary."
OC-THEORY-OP-002,operator_minimality,Operator minimality and independence,The source operator set is locally minimal for the chosen OC formalism.,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json""]",PROVED_THEOREM,1,4,operators,One operator can be defined from the others without loss over the stated model class.,Provide one independence model per operator or repair the minimality claim.
OC-THEORY-OP-003,operator_laws,Operator closure and composition laws,OC operators have well-defined closure and composition behavior over typed descriptions.,"[""022/public_payload/chapter_sources/master_monograph/chapter_Why_Operators_Are_Needed.md""]",PROVED_THEOREM,1,5,operators,A claimed composition has no domain/codomain or violates preservation/loss conditions.,State closure/composition laws and prove them in the selected formalism.
OC-THEORY-K-001,k_hierarchy,K0-K12 hierarchy definition package,OC source K-levels K0 through K12 form a stated hierarchy from distinguishability to semantic super-continuum/global coherence.,"[""022/public_payload/science_graph/OC_CORE_1_4_PUBLIC_SCIENCE_GRAPH.json"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_These_Levels_and_Not_Another_Partition.md""]",AXIOM_ACCEPTED_WITH_BOUNDARY,1,6,k_levels,"A level lacks a definition, invariant, construction rule, or distinctness condition.","Recover definitions, construction rule, invariants, and article boundary for each level."
OC-THEORY-K-002,k_distinctness,Adjacent K-Level Non-Recovery Theorem,Adjacent K-levels are non-collapsible under the 024 typed-extension formalism when the higher level carries a typed invariant not definable from the lower-level reduct.,"[""022/public_payload/chapter_sources/master_monograph/chapter_Why_These_Levels_and_Not_Another_Partition.md""]",PROVED_THEOREM,1,7,k_levels,Two levels are interdefinable without loss in the selected model class.,Prove distinctness or demote affected levels to conjectural extension.
OC-THEORY-K-003,k_count_partition,K-Level Count and Partition Repair,"The strong claim that K0-K12 is a unique, exhaustive, or minimal hierarchy is not proved; it is repaired to a source-bound ladder plus typed adjacent non-recovery.","[""022/public_payload/chapter_sources/master_monograph/chapter_Why_These_Levels_and_Not_Another_Partition.md""]",REFUTED_AND_REPAIRED,0,8,k_levels,A different partition covers the same phenomena with equal or better invariants and fewer assumptions.,Prove count/partition theorem or restrict article scope to a proved subhierarchy.
OC-THEORY-THM-001,theorem_chain,OC Claim Admissibility Theorem,"Any article-eligible OC claim invoking the central schema must name description, system, active constraints, target organization predicate, admissible same-description repair/operator class, unresolvedness argument, and either necessary new axis or collapse certificate.","[""022/public_payload/sources/OC_CORE_1_4_JOURNAL_CORE_ARTICLE.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_What_Counts_as_a_Claim_Proof_Evidence_and_Limit_Here.md"", ""022/public_payload/chapter_sources/master_monograph/chapter_Why_a_Universal_Language_of_System_Behaviour_Is_Needed.md""]",PROVED_THEOREM,1,9,theorems,All consequences are definitional restatements or circular.,"Produce a theorem with assumptions, proof, countermodel boundary, and independent verification."
OC-THEORY-LAW-001,laws,Law Candidate Classification Rule,"Every OC law-like statement must be classified as theorem consequence, axiom schema, empirical/domain conjecture, or excluded metaphor.","[""022/public_payload/sources/OC_CORE_1_4_RELEASE_GUIDE.md"", ""022/public_payload/sources/OC_CORE_1_4_METHODS_REPRO_COMPANION.md""]",AXIOM_ACCEPTED_WITH_BOUNDARY,1,10,laws,A law-like sentence has no status class or proof/evidence boundary.,Classify all law candidates before publication wording.
